"Gross value added by industry (at current price)","Rs (,000)"
"Agriculture and forestry","176094882"
"Construction","43775600"
"Education","33821400"
"Electricty gas and water","8352209"
"Financial intermediation","17413400"
"Fishing","1858338"
"Health and social work","10025100"
"Hotels and restaurants","9326800"
"Manufacturing","37640100"
"Mining and quarrying","2527834"
"Other community, social and personal service activities","28058500"
"Public administration and defence","12455000"
"Real estate, renting and business activities","33156600"
"Transport, storage and communications","23454600"
"Wholesale and retail trade","46179100"
"Total","484139463"
