"Population by Single Year of Age","Number"
"0",""
"Female","223"
"Male","291"
"1",""
"Female","178"
"Male","174"
"10",""
"Female","523"
"Male","546"
"11",""
"Female","225"
"Male","209"
"12",""
"Female","474"
"Male","523"
"13",""
"Female","221"
"Male","245"
"14",""
"Female","361"
"Male","348"
"15",""
"Female","329"
"Male","377"
"16",""
"Female","323"
"Male","337"
"17",""
"Female","186"
"Male","222"
"18",""
"Female","289"
"Male","359"
"19",""
"Female","125"
"Male","144"
"2",""
"Female","302"
"Male","325"
"20",""
"Female","340"
"Male","336"
"21",""
"Female","111"
"Male","115"
"22",""
"Female","251"
"Male","264"
"23",""
"Female","213"
"Male","144"
"24",""
"Female","171"
"Male","149"
"25",""
"Female","343"
"Male","421"
"26",""
"Female","169"
"Male","167"
"27",""
"Female","98"
"Male","135"
"28",""
"Female","337"
"Male","242"
"29",""
"Female","65"
"Male","64"
"3",""
"Female","382"
"Male","380"
"30",""
"Female","390"
"Male","451"
"31",""
"Female","49"
"Male","64"
"32",""
"Female","204"
"Male","179"
"33",""
"Female","187"
"Male","63"
"34",""
"Female","120"
"Male","69"
"35",""
"Female","307"
"Male","488"
"36",""
"Female","135"
"Male","105"
"37",""
"Female","67"
"Male","85"
"38",""
"Female","254"
"Male","162"
"39",""
"Female","48"
"Male","47"
"4",""
"Female","359"
"Male","362"
"40",""
"Female","346"
"Male","434"
"41",""
"Female","47"
"Male","52"
"42",""
"Female","118"
"Male","108"
"43",""
"Female","146"
"Male","61"
"44",""
"Female","53"
"Male","45"
"45",""
"Female","239"
"Male","369"
"46",""
"Female","71"
"Male","68"
"47",""
"Female","45"
"Male","49"
"48",""
"Female","167"
"Male","105"
"49",""
"Female","22"
"Male","18"
"5",""
"Female","407"
"Male","481"
"50",""
"Female","220"
"Male","336"
"51",""
"Female","22"
"Male","24"
"52",""
"Female","60"
"Male","37"
"53",""
"Female","87"
"Male","38"
"54",""
"Female","30"
"Male","27"
"55",""
"Female","175"
"Male","261"
"56",""
"Female","43"
"Male","37"
"57",""
"Female","42"
"Male","29"
"58",""
"Female","117"
"Male","58"
"59",""
"Female","25"
"Male","22"
"6",""
"Female","381"
"Male","429"
"60",""
"Female","214"
"Male","296"
"61",""
"Female","26"
"Male","33"
"62",""
"Female","55"
"Male","49"
"63",""
"Female","65"
"Male","21"
"64",""
"Female","26"
"Male","9"
"65",""
"Female","171"
"Male","196"
"66",""
"Female","29"
"Male","18"
"67",""
"Female","19"
"Male","27"
"68",""
"Female","57"
"Male","64"
"69",""
"Female","12"
"Male","13"
"7",""
"Female","364"
"Male","375"
"70",""
"Female","178"
"Male","156"
"71",""
"Female","9"
"Male","24"
"72",""
"Female","33"
"Male","33"
"73",""
"Female","18"
"Male","7"
"74",""
"Female","3"
"Male","5"
"75",""
"Female","78"
"Male","77"
"76",""
"Female","4"
"Male","2"
"77",""
"Female","4"
"Male","7"
"78",""
"Female","6"
"Male","5"
"79",""
"Female","1"
"Male","4"
"8",""
"Female","448"
"Male","465"
"80",""
"Female","15"
"Male","26"
"81",""
"Female","2"
"Male","0"
"82",""
"Female","2"
"Male","2"
"83",""
"Female","2"
"Male","1"
"84",""
"Female","2"
"Male","1"
"85",""
"Female","22"
"Male","24"
"9",""
"Female","265"
"Male","219"
