"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","73"
"Male","81"
"","154"
"Bin",""
"Female","281"
"Male","315"
"","596"
"Brahman - Hill",""
"Female","46"
"Male","47"
"","93"
"Brahman - Tarai",""
"Female","20"
"Male","25"
"","45"
"Chamar/ Harijan/ Ram",""
"Female","1192"
"Male","1188"
"","2380"
"Chhetri",""
"Female","32"
"Male","30"
"","62"
"Dhankar/ Dharikar",""
"Female","18"
"Male","18"
"","36"
"Dhanuk",""
"Female","94"
"Male","84"
"","178"
"Dhobi",""
"Female","78"
"Male","80"
"","158"
"Dom",""
"Female","9"
"Male","10"
"","19"
"Dusadh/ Pasawan/ Pasi",""
"Female","1313"
"Male","1378"
"","2691"
"Hajam/Thakur",""
"Female","167"
"Male","151"
"","318"
"Kahar",""
"Female","50"
"Male","53"
"","103"
"Kalwar",""
"Female","455"
"Male","484"
"","939"
"Kami",""
"Female","66"
"Male","82"
"","148"
"Kanu",""
"Female","474"
"Male","517"
"","991"
"Kathabaniyan",""
"Female","68"
"Male","70"
"","138"
"Koiri/Kushwaha",""
"Female","67"
"Male","74"
"","141"
"Kumal",""
"Female","310"
"Male","324"
"","634"
"Kumhar",""
"Female","400"
"Male","407"
"","807"
"Kurmi",""
"Female","127"
"Male","140"
"","267"
"Lohar",""
"Female","38"
"Male","46"
"","84"
"Mallaha",""
"Female","557"
"Male","593"
"","1150"
"Musahar",""
"Female","531"
"Male","577"
"","1108"
"Musalman",""
"Female","306"
"Male","352"
"","658"
"Natuwa",""
"Female","122"
"Male","122"
"","244"
"Nuniya",""
"Female","18"
"Male","20"
"","38"
"Others",""
"Female","38"
"Male","26"
"","64"
"Sanyasi/Dasnami",""
"Female","22"
"Male","18"
"","40"
"Sonar",""
"Female","38"
"Male","42"
"","80"
"Tatma/Tatwa",""
"Female","227"
"Male","226"
"","453"
"Teli",""
"Female","710"
"Male","770"
"","1480"
"Tharu",""
"Female","4929"
"Male","4951"
"","9880"
"Yadav",""
"Female","476"
"Male","538"
"","1014"
