"Population by disability type","Number"
"Blind/low vision",""
"Female","20"
"Male","22"
"","42"
"Deaf/hard of hearing",""
"Female","8"
"Male","12"
"","20"
"Deaf-Blind",""
"Female","3"
"Male","3"
"","6"
"Intellectual disable",""
"Female","1"
"Male","3"
"","4"
"Mental disable",""
"Female","5"
"Male","11"
"","16"
"Multiple disable",""
"Female","2"
"Male","8"
"","10"
"No disability",""
"Female","11162"
"Male","12406"
"","23568"
"Physical",""
"Female","27"
"Male","51"
"","78"
"Speech problem",""
"Female","10"
"Male","31"
"","41"
