"Population by disability type","Number"
"Blind/low vision",""
"Female","8"
"Male","21"
"","29"
"Deaf/hard of hearing",""
"Female","6"
"Male","3"
"","9"
"Deaf-Blind",""
"Female","3"
"Male","0"
"","3"
"Intellectual disable",""
"Female","1"
"Male","5"
"","6"
"Mental disable",""
"Female","4"
"Male","9"
"","13"
"Multiple disable",""
"Female","10"
"Male","3"
"","13"
"No disability",""
"Female","11055"
"Male","12001"
"","23056"
"Physical",""
"Female","21"
"Male","52"
"","73"
"Speech problem",""
"Female","7"
"Male","14"
"","21"
