"Population by Educational Attainment","Number"
"Beginners",""
"Female","256"
"Male","355"
"Graduate and Equivalent",""
"Female","24"
"Male","111"
"Intermediate and Equivalent",""
"Female","100"
"Male","302"
"Level not Stated",""
"Female","22"
"Male","55"
"Lower Secondary (Class 6-8)",""
"Female","857"
"Male","1570"
"Non Formal Education",""
"Female","16"
"Male","8"
"Others",""
"Female","10"
"Male","10"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","33"
"Primary Education (1-5 Class)",""
"Female","2455"
"Male","3477"
"Secondary Level (Class 9-10)",""
"Female","357"
"Male","812"
"SLC and Equivalent",""
"Female","313"
"Male","775"
