"Population by Single Year of Age","Number"
"0",""
"Female","267"
"Male","312"
"1",""
"Female","304"
"Male","335"
"10",""
"Female","737"
"Male","798"
"11",""
"Female","277"
"Male","278"
"12",""
"Female","515"
"Male","613"
"13",""
"Female","269"
"Male","271"
"14",""
"Female","359"
"Male","415"
"15",""
"Female","299"
"Male","396"
"16",""
"Female","288"
"Male","397"
"17",""
"Female","157"
"Male","194"
"18",""
"Female","355"
"Male","401"
"19",""
"Female","145"
"Male","152"
"2",""
"Female","485"
"Male","462"
"20",""
"Female","432"
"Male","471"
"21",""
"Female","111"
"Male","121"
"22",""
"Female","302"
"Male","287"
"23",""
"Female","223"
"Male","169"
"24",""
"Female","232"
"Male","173"
"25",""
"Female","454"
"Male","519"
"26",""
"Female","196"
"Male","178"
"27",""
"Female","149"
"Male","169"
"28",""
"Female","395"
"Male","303"
"29",""
"Female","72"
"Male","70"
"3",""
"Female","555"
"Male","558"
"30",""
"Female","500"
"Male","584"
"31",""
"Female","46"
"Male","54"
"32",""
"Female","249"
"Male","234"
"33",""
"Female","169"
"Male","80"
"34",""
"Female","141"
"Male","83"
"35",""
"Female","437"
"Male","555"
"36",""
"Female","139"
"Male","126"
"37",""
"Female","82"
"Male","69"
"38",""
"Female","294"
"Male","181"
"39",""
"Female","49"
"Male","56"
"4",""
"Female","565"
"Male","571"
"40",""
"Female","420"
"Male","554"
"41",""
"Female","40"
"Male","35"
"42",""
"Female","171"
"Male","161"
"43",""
"Female","119"
"Male","60"
"44",""
"Female","72"
"Male","39"
"45",""
"Female","313"
"Male","512"
"46",""
"Female","59"
"Male","69"
"47",""
"Female","34"
"Male","49"
"48",""
"Female","147"
"Male","112"
"49",""
"Female","35"
"Male","21"
"5",""
"Female","664"
"Male","723"
"50",""
"Female","259"
"Male","369"
"51",""
"Female","22"
"Male","31"
"52",""
"Female","69"
"Male","73"
"53",""
"Female","84"
"Male","37"
"54",""
"Female","31"
"Male","19"
"55",""
"Female","232"
"Male","282"
"56",""
"Female","37"
"Male","40"
"57",""
"Female","18"
"Male","33"
"58",""
"Female","110"
"Male","47"
"59",""
"Female","22"
"Male","17"
"6",""
"Female","649"
"Male","638"
"60",""
"Female","280"
"Male","340"
"61",""
"Female","16"
"Male","18"
"62",""
"Female","74"
"Male","50"
"63",""
"Female","52"
"Male","22"
"64",""
"Female","27"
"Male","19"
"65",""
"Female","206"
"Male","274"
"66",""
"Female","26"
"Male","26"
"67",""
"Female","24"
"Male","17"
"68",""
"Female","74"
"Male","47"
"69",""
"Female","29"
"Male","15"
"7",""
"Female","454"
"Male","518"
"70",""
"Female","168"
"Male","210"
"71",""
"Female","26"
"Male","11"
"72",""
"Female","34"
"Male","50"
"73",""
"Female","17"
"Male","16"
"74",""
"Female","10"
"Male","5"
"75",""
"Female","102"
"Male","123"
"76",""
"Female","6"
"Male","11"
"77",""
"Female","8"
"Male","6"
"78",""
"Female","13"
"Male","9"
"79",""
"Female","1"
"Male","1"
"8",""
"Female","711"
"Male","769"
"80",""
"Female","28"
"Male","66"
"81",""
"Female","1"
"Male","0"
"82",""
"Female","4"
"Male","0"
"83",""
"Female","0"
"Male","1"
"84",""
"Female","1"
"Male","0"
"85",""
"Female","36"
"Male","36"
"9",""
"Female","351"
"Male","343"
