"Population by disability type","Number"
"Blind/low vision",""
"Female","297"
"Male","342"
"","639"
"Deaf/hard of hearing",""
"Female","42"
"Male","35"
"","77"
"Deaf-Blind",""
"Female","5"
"Male","9"
"","14"
"Intellectual disable",""
"Female","4"
"Male","6"
"","10"
"Mental disable",""
"Female","7"
"Male","16"
"","23"
"Multiple disable",""
"Female","12"
"Male","32"
"","44"
"No disability",""
"Female","16039"
"Male","16795"
"","32834"
"Physical",""
"Female","217"
"Male","267"
"","484"
"Speech problem",""
"Female","12"
"Male","36"
"","48"
