"Population by Single Year of Age","Number"
"0",""
"Female","195"
"Male","213"
"1",""
"Female","278"
"Male","257"
"10",""
"Female","471"
"Male","522"
"11",""
"Female","196"
"Male","238"
"12",""
"Female","445"
"Male","489"
"13",""
"Female","209"
"Male","231"
"14",""
"Female","334"
"Male","378"
"15",""
"Female","222"
"Male","282"
"16",""
"Female","311"
"Male","390"
"17",""
"Female","143"
"Male","179"
"18",""
"Female","292"
"Male","345"
"19",""
"Female","95"
"Male","125"
"2",""
"Female","377"
"Male","369"
"20",""
"Female","248"
"Male","270"
"21",""
"Female","109"
"Male","115"
"22",""
"Female","189"
"Male","223"
"23",""
"Female","236"
"Male","157"
"24",""
"Female","207"
"Male","159"
"25",""
"Female","298"
"Male","355"
"26",""
"Female","177"
"Male","199"
"27",""
"Female","98"
"Male","104"
"28",""
"Female","333"
"Male","270"
"29",""
"Female","65"
"Male","74"
"3",""
"Female","409"
"Male","411"
"30",""
"Female","350"
"Male","381"
"31",""
"Female","85"
"Male","68"
"32",""
"Female","203"
"Male","203"
"33",""
"Female","155"
"Male","85"
"34",""
"Female","94"
"Male","86"
"35",""
"Female","272"
"Male","413"
"36",""
"Female","102"
"Male","123"
"37",""
"Female","49"
"Male","51"
"38",""
"Female","232"
"Male","142"
"39",""
"Female","71"
"Male","38"
"4",""
"Female","445"
"Male","418"
"40",""
"Female","243"
"Male","368"
"41",""
"Female","56"
"Male","74"
"42",""
"Female","129"
"Male","144"
"43",""
"Female","86"
"Male","45"
"44",""
"Female","54"
"Male","47"
"45",""
"Female","205"
"Male","308"
"46",""
"Female","61"
"Male","64"
"47",""
"Female","32"
"Male","47"
"48",""
"Female","102"
"Male","96"
"49",""
"Female","25"
"Male","16"
"5",""
"Female","418"
"Male","410"
"50",""
"Female","156"
"Male","232"
"51",""
"Female","49"
"Male","43"
"52",""
"Female","56"
"Male","58"
"53",""
"Female","66"
"Male","43"
"54",""
"Female","32"
"Male","32"
"55",""
"Female","138"
"Male","181"
"56",""
"Female","44"
"Male","42"
"57",""
"Female","26"
"Male","24"
"58",""
"Female","117"
"Male","56"
"59",""
"Female","26"
"Male","15"
"6",""
"Female","472"
"Male","435"
"60",""
"Female","158"
"Male","221"
"61",""
"Female","17"
"Male","28"
"62",""
"Female","67"
"Male","63"
"63",""
"Female","32"
"Male","17"
"64",""
"Female","26"
"Male","27"
"65",""
"Female","142"
"Male","153"
"66",""
"Female","22"
"Male","28"
"67",""
"Female","16"
"Male","11"
"68",""
"Female","37"
"Male","51"
"69",""
"Female","6"
"Male","10"
"7",""
"Female","355"
"Male","291"
"70",""
"Female","81"
"Male","126"
"71",""
"Female","9"
"Male","17"
"72",""
"Female","28"
"Male","41"
"73",""
"Female","12"
"Male","8"
"74",""
"Female","3"
"Male","14"
"75",""
"Female","43"
"Male","49"
"76",""
"Female","3"
"Male","6"
"77",""
"Female","2"
"Male","3"
"78",""
"Female","6"
"Male","8"
"79",""
"Female","3"
"Male","3"
"8",""
"Female","561"
"Male","558"
"80",""
"Female","17"
"Male","23"
"81",""
"Female","2"
"Male","3"
"82",""
"Female","0"
"Male","2"
"83",""
"Female","0"
"Male","1"
"84",""
"Female","2"
"Male","0"
"85",""
"Female","17"
"Male","15"
"9",""
"Female","232"
"Male","246"
