"Population by disability type","Number"
"Blind/low vision",""
"Female","412"
"Male","487"
"","899"
"Deaf/hard of hearing",""
"Female","84"
"Male","70"
"","154"
"Deaf-Blind",""
"Female","16"
"Male","15"
"","31"
"Intellectual disable",""
"Female","11"
"Male","21"
"","32"
"Mental disable",""
"Female","54"
"Male","51"
"","105"
"Multiple disable",""
"Female","37"
"Male","27"
"","64"
"No disability",""
"Female","22748"
"Male","24013"
"","46761"
"Physical",""
"Female","159"
"Male","259"
"","418"
"Speech problem",""
"Female","34"
"Male","72"
"","106"
