"Population by Single Year of Age","Number"
"0",""
"Female","5639"
"Male","6040"
"1",""
"Female","5307"
"Male","5508"
"10",""
"Female","12860"
"Male","13965"
"11",""
"Female","5824"
"Male","5933"
"12",""
"Female","10639"
"Male","11867"
"13",""
"Female","6618"
"Male","6868"
"14",""
"Female","8053"
"Male","8602"
"15",""
"Female","7329"
"Male","8406"
"16",""
"Female","7475"
"Male","8766"
"17",""
"Female","4887"
"Male","5675"
"18",""
"Female","7613"
"Male","9007"
"19",""
"Female","3602"
"Male","3806"
"2",""
"Female","8475"
"Male","8551"
"20",""
"Female","8540"
"Male","8681"
"21",""
"Female","3303"
"Male","3322"
"22",""
"Female","6475"
"Male","6303"
"23",""
"Female","5250"
"Male","3872"
"24",""
"Female","4816"
"Male","4141"
"25",""
"Female","9039"
"Male","9622"
"26",""
"Female","4497"
"Male","4174"
"27",""
"Female","3663"
"Male","3760"
"28",""
"Female","7914"
"Male","6450"
"29",""
"Female","1987"
"Male","2171"
"3",""
"Female","9686"
"Male","9863"
"30",""
"Female","10456"
"Male","10996"
"31",""
"Female","1732"
"Male","1801"
"32",""
"Female","5386"
"Male","5211"
"33",""
"Female","3893"
"Male","2263"
"34",""
"Female","2901"
"Male","2217"
"35",""
"Female","8722"
"Male","11454"
"36",""
"Female","2812"
"Male","2955"
"37",""
"Female","2114"
"Male","1982"
"38",""
"Female","5839"
"Male","4078"
"39",""
"Female","1523"
"Male","1353"
"4",""
"Female","9601"
"Male","9818"
"40",""
"Female","8337"
"Male","10843"
"41",""
"Female","1283"
"Male","1417"
"42",""
"Female","3062"
"Male","3149"
"43",""
"Female","2686"
"Male","1475"
"44",""
"Female","1476"
"Male","1273"
"45",""
"Female","6436"
"Male","9072"
"46",""
"Female","1524"
"Male","1529"
"47",""
"Female","1254"
"Male","1264"
"48",""
"Female","3322"
"Male","2584"
"49",""
"Female","950"
"Male","810"
"5",""
"Female","10727"
"Male","11893"
"50",""
"Female","5719"
"Male","7417"
"51",""
"Female","813"
"Male","1000"
"52",""
"Female","1608"
"Male","1714"
"53",""
"Female","1526"
"Male","862"
"54",""
"Female","945"
"Male","748"
"55",""
"Female","4667"
"Male","5728"
"56",""
"Female","1013"
"Male","1086"
"57",""
"Female","838"
"Male","831"
"58",""
"Female","2211"
"Male","1428"
"59",""
"Female","650"
"Male","641"
"6",""
"Female","10637"
"Male","11022"
"60",""
"Female","5102"
"Male","6434"
"61",""
"Female","648"
"Male","723"
"62",""
"Female","1294"
"Male","1173"
"63",""
"Female","1046"
"Male","545"
"64",""
"Female","629"
"Male","459"
"65",""
"Female","3976"
"Male","4452"
"66",""
"Female","602"
"Male","566"
"67",""
"Female","503"
"Male","482"
"68",""
"Female","1195"
"Male","1204"
"69",""
"Female","307"
"Male","353"
"7",""
"Female","8924"
"Male","9312"
"70",""
"Female","2940"
"Male","3445"
"71",""
"Female","296"
"Male","347"
"72",""
"Female","582"
"Male","725"
"73",""
"Female","295"
"Male","259"
"74",""
"Female","152"
"Male","169"
"75",""
"Female","1319"
"Male","1636"
"76",""
"Female","138"
"Male","170"
"77",""
"Female","133"
"Male","169"
"78",""
"Female","221"
"Male","265"
"79",""
"Female","67"
"Male","83"
"8",""
"Female","11928"
"Male","12883"
"80",""
"Female","635"
"Male","762"
"81",""
"Female","53"
"Male","69"
"82",""
"Female","85"
"Male","72"
"83",""
"Female","43"
"Male","44"
"84",""
"Female","64"
"Male","78"
"85",""
"Female","657"
"Male","620"
"9",""
"Female","6476"
"Male","6478"
