"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","26"
"Male","30"
"","56"
"Doteli",""
"Female","8"
"Male","8"
"","16"
"Gurung",""
"Female","140"
"Male","128"
"","268"
"Maithili",""
"Female","18865"
"Male","17466"
"","36331"
"Nepali",""
"Female","75"
"Male","82"
"","157"
"Not Reported",""
"Female","240"
"Male","229"
"","469"
"Others",""
"Female","17"
"Male","8"
"","25"
"Sunuwar",""
"Female","14"
"Male","10"
"","24"
"Tamang",""
"Female","6"
"Male","5"
"","11"
"Tharu",""
"Female","33"
"Male","47"
"","80"
"Urdu",""
"Female","390"
"Male","389"
"","779"
