"Population by Educational Attainment","Number"
"Beginners",""
"Female","183"
"Male","275"
"","458"
"Graduate and Equivalent",""
"Female","86"
"Male","455"
"","541"
"Intermediate and Equivalent",""
"Female","320"
"Male","793"
"","1113"
"Level not Stated",""
"Female","19"
"Male","35"
"","54"
"Lower Secondary (Class 6-8)",""
"Female","1320"
"Male","1838"
"","3158"
"Non Formal Education",""
"Female","121"
"Male","105"
"","226"
"Others",""
"Female","9"
"Male","18"
"","27"
"Post Graduate Equivalent and Above",""
"Female","23"
"Male","85"
"","108"
"Primary Education (1-5 Class)",""
"Female","2796"
"Male","3457"
"","6253"
"Secondary Level (Class 9-10)",""
"Female","576"
"Male","1298"
"","1874"
"SLC and Equivalent",""
"Female","422"
"Male","975"
"","1397"
