"Population by disability type","Number"
"Blind/low vision",""
"Female","57"
"Male","72"
"","129"
"Deaf/hard of hearing",""
"Female","30"
"Male","16"
"","46"
"Deaf-Blind",""
"Female","7"
"Male","5"
"","12"
"Intellectual disable",""
"Female","8"
"Male","8"
"","16"
"Mental disable",""
"Female","11"
"Male","35"
"","46"
"Multiple disable",""
"Female","11"
"Male","10"
"","21"
"No disability",""
"Female","24064"
"Male","22855"
"","46919"
"Physical",""
"Female","72"
"Male","123"
"","195"
"Speech problem",""
"Female","14"
"Male","24"
"","38"
