"Population by Educational Attainment","Number"
"Beginners",""
"Female","166"
"Male","233"
"","399"
"Graduate and Equivalent",""
"Female","71"
"Male","358"
"","429"
"Intermediate and Equivalent",""
"Female","236"
"Male","650"
"","886"
"Level not Stated",""
"Female","39"
"Male","50"
"","89"
"Lower Secondary (Class 6-8)",""
"Female","1610"
"Male","2351"
"","3961"
"Non Formal Education",""
"Female","230"
"Male","356"
"","586"
"Others",""
"Female","5"
"Male","4"
"","9"
"Post Graduate Equivalent and Above",""
"Female","12"
"Male","71"
"","83"
"Primary Education (1-5 Class)",""
"Female","3766"
"Male","4460"
"","8226"
"Secondary Level (Class 9-10)",""
"Female","718"
"Male","1397"
"","2115"
"SLC and Equivalent",""
"Female","602"
"Male","1482"
"","2084"
