"Population by Mother tongue","Number"
"Avadhi",""
"Female","5"
"Male","7"
"","12"
"Bajjika",""
"Female","12"
"Male","15"
"","27"
"Bangla",""
"Female","16"
"Male","38"
"","54"
"Bhojpuri",""
"Female","351"
"Male","396"
"","747"
"Bhujel",""
"Female","29"
"Male","34"
"","63"
"Chamling",""
"Female","12"
"Male","16"
"","28"
"Danuwar",""
"Female","1019"
"Male","867"
"","1886"
"Doteli",""
"Female","156"
"Male","170"
"","326"
"Gurung",""
"Female","167"
"Male","144"
"","311"
"Hariyanwi",""
"Female","60"
"Male","47"
"","107"
"Hindi",""
"Female","494"
"Male","476"
"","970"
"Jero/Jerung",""
"Female","25"
"Male","20"
"","45"
"Lhomi",""
"Female","21"
"Male","11"
"","32"
"Limbu",""
"Female","43"
"Male","41"
"","84"
"Magahi",""
"Female","11747"
"Male","11346"
"","23093"
"Magar",""
"Female","3630"
"Male","3434"
"","7064"
"Maithili",""
"Female","322107"
"Male","324958"
"","647065"
"Majhi",""
"Female","386"
"Male","372"
"","758"
"Meche",""
"Female","66"
"Male","64"
"","130"
"Nepali",""
"Female","16787"
"Male","16427"
"","33214"
"Newar",""
"Female","1026"
"Male","1023"
"","2049"
"Not Reported",""
"Female","2586"
"Male","2669"
"","5255"
"Others",""
"Female","376"
"Male","301"
"","677"
"Rai",""
"Female","188"
"Male","177"
"","365"
"Rajsthani",""
"Female","278"
"Male","292"
"","570"
"Sherpa",""
"Female","34"
"Male","31"
"","65"
"Sign Language",""
"Female","11"
"Male","8"
"","19"
"Sunuwar",""
"Female","823"
"Male","743"
"","1566"
"Tamang",""
"Female","4008"
"Male","3883"
"","7891"
"Tharu",""
"Female","186"
"Male","187"
"","373"
"Uranw/Urau",""
"Female","182"
"Male","187"
"","369"
"Urdu",""
"Female","9257"
"Male","8968"
"","18225"
"Yakkha",""
"Female","124"
"Male","118"
"","242"
