"Population by Single Year of Age","Number"
"0",""
"Female","332"
"Male","334"
"1",""
"Female","254"
"Male","288"
"10",""
"Female","637"
"Male","708"
"11",""
"Female","301"
"Male","282"
"12",""
"Female","530"
"Male","591"
"13",""
"Female","317"
"Male","346"
"14",""
"Female","338"
"Male","387"
"15",""
"Female","340"
"Male","380"
"16",""
"Female","291"
"Male","355"
"17",""
"Female","178"
"Male","207"
"18",""
"Female","244"
"Male","383"
"19",""
"Female","110"
"Male","134"
"2",""
"Female","394"
"Male","428"
"20",""
"Female","353"
"Male","326"
"21",""
"Female","105"
"Male","103"
"22",""
"Female","272"
"Male","209"
"23",""
"Female","148"
"Male","102"
"24",""
"Female","248"
"Male","127"
"25",""
"Female","487"
"Male","385"
"26",""
"Female","197"
"Male","130"
"27",""
"Female","201"
"Male","134"
"28",""
"Female","366"
"Male","264"
"29",""
"Female","112"
"Male","82"
"3",""
"Female","463"
"Male","445"
"30",""
"Female","573"
"Male","466"
"31",""
"Female","95"
"Male","78"
"32",""
"Female","273"
"Male","240"
"33",""
"Female","124"
"Male","88"
"34",""
"Female","133"
"Male","101"
"35",""
"Female","516"
"Male","485"
"36",""
"Female","155"
"Male","116"
"37",""
"Female","78"
"Male","65"
"38",""
"Female","220"
"Male","183"
"39",""
"Female","69"
"Male","54"
"4",""
"Female","447"
"Male","454"
"40",""
"Female","384"
"Male","469"
"41",""
"Female","71"
"Male","65"
"42",""
"Female","146"
"Male","145"
"43",""
"Female","68"
"Male","39"
"44",""
"Female","85"
"Male","50"
"45",""
"Female","311"
"Male","416"
"46",""
"Female","56"
"Male","74"
"47",""
"Female","58"
"Male","53"
"48",""
"Female","139"
"Male","120"
"49",""
"Female","49"
"Male","36"
"5",""
"Female","527"
"Male","546"
"50",""
"Female","299"
"Male","308"
"51",""
"Female","62"
"Male","68"
"52",""
"Female","98"
"Male","99"
"53",""
"Female","52"
"Male","21"
"54",""
"Female","36"
"Male","43"
"55",""
"Female","247"
"Male","335"
"56",""
"Female","59"
"Male","60"
"57",""
"Female","43"
"Male","36"
"58",""
"Female","149"
"Male","77"
"59",""
"Female","42"
"Male","41"
"6",""
"Female","500"
"Male","498"
"60",""
"Female","289"
"Male","316"
"61",""
"Female","39"
"Male","43"
"62",""
"Female","88"
"Male","67"
"63",""
"Female","50"
"Male","30"
"64",""
"Female","39"
"Male","45"
"65",""
"Female","220"
"Male","273"
"66",""
"Female","32"
"Male","30"
"67",""
"Female","23"
"Male","26"
"68",""
"Female","53"
"Male","64"
"69",""
"Female","27"
"Male","26"
"7",""
"Female","459"
"Male","492"
"70",""
"Female","143"
"Male","169"
"71",""
"Female","23"
"Male","24"
"72",""
"Female","36"
"Male","33"
"73",""
"Female","10"
"Male","7"
"74",""
"Female","5"
"Male","2"
"75",""
"Female","58"
"Male","67"
"76",""
"Female","4"
"Male","11"
"77",""
"Female","2"
"Male","1"
"78",""
"Female","10"
"Male","13"
"79",""
"Female","3"
"Male","4"
"8",""
"Female","632"
"Male","594"
"80",""
"Female","31"
"Male","30"
"81",""
"Female","0"
"Male","5"
"82",""
"Female","5"
"Male","1"
"83",""
"Female","1"
"Male","3"
"84",""
"Female","1"
"Male","0"
"85",""
"Female","23"
"Male","27"
"9",""
"Female","382"
"Male","319"
