"Population by Five Years Age Group","Number"
"0-4",""
"Female","2467"
"Male","2515"
"10-14",""
"Female","2866"
"Male","3213"
"15-19",""
"Female","1653"
"Male","1947"
"20-24",""
"Female","1689"
"Male","1270"
"25-29",""
"Female","1696"
"Male","1226"
"30-34",""
"Female","1531"
"Male","1020"
"35-39",""
"Female","1318"
"Male","978"
"40-44",""
"Female","1072"
"Male","877"
"45-49",""
"Female","914"
"Male","868"
"50-54",""
"Female","739"
"Male","745"
"55-59",""
"Female","764"
"Male","719"
"5-9",""
"Female","3177"
"Male","3229"
"60-64",""
"Female","670"
"Male","757"
"65-69",""
"Female","542"
"Male","543"
"70-74",""
"Female","330"
"Male","443"
"75+",""
"Female","281"
"Male","309"
