"Population by disability type","Number"
"Blind/low vision",""
"Female","237"
"Male","211"
"","448"
"Deaf/hard of hearing",""
"Female","153"
"Male","156"
"","309"
"Deaf-Blind",""
"Female","26"
"Male","25"
"","51"
"Intellectual disable",""
"Female","28"
"Male","22"
"","50"
"Mental disable",""
"Female","40"
"Male","58"
"","98"
"Multiple disable",""
"Female","90"
"Male","83"
"","173"
"No disability",""
"Female","31923"
"Male","30317"
"","62240"
"Physical",""
"Female","228"
"Male","299"
"","527"
"Speech problem",""
"Female","138"
"Male","178"
"","316"
