"Population by Caste Ethinicity","Number"
"Amat",""
"Female","90"
"Male","88"
"","178"
"Badhaee",""
"Female","14"
"Male","15"
"","29"
"Bangali",""
"Female","16"
"Male","20"
"","36"
"Baraee",""
"Female","232"
"Male","246"
"","478"
"Bhote",""
"Female","13"
"Male","7"
"","20"
"Bin",""
"Female","171"
"Male","205"
"","376"
"Brahman - Hill",""
"Female","139"
"Male","154"
"","293"
"Brahman - Tarai",""
"Female","1249"
"Male","1328"
"","2577"
"Chamar/ Harijan/ Ram",""
"Female","572"
"Male","551"
"","1123"
"Chhetri",""
"Female","9"
"Male","4"
"","13"
"Dhanuk",""
"Female","895"
"Male","918"
"","1813"
"Dhobi",""
"Female","200"
"Male","215"
"","415"
"Dhunia",""
"Female","22"
"Male","26"
"","48"
"Dom",""
"Female","34"
"Male","38"
"","72"
"Dusadh/ Pasawan/ Pasi",""
"Female","1019"
"Male","1089"
"","2108"
"Hajam/Thakur",""
"Female","247"
"Male","234"
"","481"
"Halwai",""
"Female","106"
"Male","117"
"","223"
"Kalwar",""
"Female","197"
"Male","204"
"","401"
"Kami",""
"Female","29"
"Male","29"
"","58"
"Kanu",""
"Female","75"
"Male","80"
"","155"
"Kathabaniyan",""
"Female","19"
"Male","22"
"","41"
"Kayastha",""
"Female","93"
"Male","80"
"","173"
"Kewat",""
"Female","295"
"Male","298"
"","593"
"Khatwe",""
"Female","403"
"Male","431"
"","834"
"Koiri/Kushwaha",""
"Female","392"
"Male","409"
"","801"
"Kumhar",""
"Female","338"
"Male","328"
"","666"
"Kurmi",""
"Female","142"
"Male","125"
"","267"
"Lohar",""
"Female","115"
"Male","121"
"","236"
"Mali",""
"Female","55"
"Male","48"
"","103"
"Mallaha",""
"Female","9"
"Male","12"
"","21"
"Musahar",""
"Female","532"
"Male","553"
"","1085"
"Musalman",""
"Female","1229"
"Male","1126"
"","2355"
"Newar",""
"Female","5"
"Male","11"
"","16"
"Nuniya",""
"Female","163"
"Male","154"
"","317"
"Others",""
"Female","13"
"Male","1"
"","14"
"Punjabi/Sikh",""
"Female","135"
"Male","141"
"","276"
"Rajput",""
"Female","155"
"Male","151"
"","306"
"Sanyasi/Dasnami",""
"Female","8"
"Male","7"
"","15"
"Sonar",""
"Female","233"
"Male","249"
"","482"
"Sudhi",""
"Female","560"
"Male","571"
"","1131"
"Tatma/Tatwa",""
"Female","760"
"Male","712"
"","1472"
"Teli",""
"Female","388"
"Male","394"
"","782"
"Terai Others",""
"Female","156"
"Male","153"
"","309"
"Undefined Others",""
"Female","12"
"Male","14"
"","26"
"Yadav",""
"Female","2077"
"Male","2135"
"","4212"
