"Population by Single Year of Age","Number"
"0",""
"Female","439"
"Male","442"
"1",""
"Female","333"
"Male","402"
"10",""
"Female","1118"
"Male","1201"
"11",""
"Female","370"
"Male","382"
"12",""
"Female","817"
"Male","927"
"13",""
"Female","427"
"Male","413"
"14",""
"Female","523"
"Male","553"
"15",""
"Female","504"
"Male","564"
"16",""
"Female","505"
"Male","626"
"17",""
"Female","275"
"Male","352"
"18",""
"Female","493"
"Male","692"
"19",""
"Female","177"
"Male","286"
"2",""
"Female","570"
"Male","599"
"20",""
"Female","649"
"Male","691"
"21",""
"Female","158"
"Male","204"
"22",""
"Female","414"
"Male","382"
"23",""
"Female","253"
"Male","198"
"24",""
"Female","329"
"Male","246"
"25",""
"Female","760"
"Male","650"
"26",""
"Female","272"
"Male","260"
"27",""
"Female","206"
"Male","215"
"28",""
"Female","542"
"Male","339"
"29",""
"Female","112"
"Male","115"
"3",""
"Female","663"
"Male","623"
"30",""
"Female","915"
"Male","709"
"31",""
"Female","75"
"Male","72"
"32",""
"Female","399"
"Male","307"
"33",""
"Female","207"
"Male","117"
"34",""
"Female","193"
"Male","122"
"35",""
"Female","810"
"Male","723"
"36",""
"Female","209"
"Male","173"
"37",""
"Female","127"
"Male","142"
"38",""
"Female","395"
"Male","241"
"39",""
"Female","91"
"Male","58"
"4",""
"Female","640"
"Male","684"
"40",""
"Female","839"
"Male","825"
"41",""
"Female","62"
"Male","74"
"42",""
"Female","243"
"Male","221"
"43",""
"Female","156"
"Male","100"
"44",""
"Female","100"
"Male","97"
"45",""
"Female","642"
"Male","667"
"46",""
"Female","96"
"Male","107"
"47",""
"Female","92"
"Male","95"
"48",""
"Female","297"
"Male","195"
"49",""
"Female","49"
"Male","41"
"5",""
"Female","753"
"Male","791"
"50",""
"Female","579"
"Male","663"
"51",""
"Female","41"
"Male","73"
"52",""
"Female","127"
"Male","163"
"53",""
"Female","122"
"Male","49"
"54",""
"Female","90"
"Male","73"
"55",""
"Female","464"
"Male","565"
"56",""
"Female","85"
"Male","103"
"57",""
"Female","66"
"Male","59"
"58",""
"Female","194"
"Male","143"
"59",""
"Female","50"
"Male","47"
"6",""
"Female","719"
"Male","813"
"60",""
"Female","523"
"Male","606"
"61",""
"Female","42"
"Male","46"
"62",""
"Female","129"
"Male","112"
"63",""
"Female","56"
"Male","46"
"64",""
"Female","57"
"Male","42"
"65",""
"Female","369"
"Male","431"
"66",""
"Female","59"
"Male","47"
"67",""
"Female","42"
"Male","46"
"68",""
"Female","86"
"Male","80"
"69",""
"Female","13"
"Male","31"
"7",""
"Female","624"
"Male","575"
"70",""
"Female","254"
"Male","320"
"71",""
"Female","13"
"Male","22"
"72",""
"Female","39"
"Male","45"
"73",""
"Female","16"
"Male","14"
"74",""
"Female","15"
"Male","10"
"75",""
"Female","120"
"Male","125"
"76",""
"Female","8"
"Male","14"
"77",""
"Female","4"
"Male","10"
"78",""
"Female","14"
"Male","22"
"79",""
"Female","6"
"Male","4"
"8",""
"Female","977"
"Male","993"
"80",""
"Female","53"
"Male","71"
"81",""
"Female","3"
"Male","3"
"82",""
"Female","2"
"Male","6"
"83",""
"Female","1"
"Male","3"
"84",""
"Female","4"
"Male","3"
"85",""
"Female","55"
"Male","38"
"9",""
"Female","416"
"Male","417"
