"Population by Single Year of Age","Number"
"0",""
"Female","365"
"Male","395"
"1",""
"Female","263"
"Male","266"
"10",""
"Female","720"
"Male","727"
"11",""
"Female","251"
"Male","264"
"12",""
"Female","543"
"Male","566"
"13",""
"Female","271"
"Male","268"
"14",""
"Female","413"
"Male","364"
"15",""
"Female","329"
"Male","388"
"16",""
"Female","300"
"Male","346"
"17",""
"Female","145"
"Male","195"
"18",""
"Female","287"
"Male","385"
"19",""
"Female","119"
"Male","106"
"2",""
"Female","432"
"Male","430"
"20",""
"Female","404"
"Male","329"
"21",""
"Female","102"
"Male","98"
"22",""
"Female","272"
"Male","195"
"23",""
"Female","165"
"Male","106"
"24",""
"Female","184"
"Male","128"
"25",""
"Female","480"
"Male","370"
"26",""
"Female","193"
"Male","118"
"27",""
"Female","166"
"Male","120"
"28",""
"Female","335"
"Male","190"
"29",""
"Female","71"
"Male","71"
"3",""
"Female","460"
"Male","426"
"30",""
"Female","538"
"Male","379"
"31",""
"Female","73"
"Male","50"
"32",""
"Female","211"
"Male","164"
"33",""
"Female","128"
"Male","66"
"34",""
"Female","95"
"Male","59"
"35",""
"Female","418"
"Male","379"
"36",""
"Female","114"
"Male","96"
"37",""
"Female","57"
"Male","50"
"38",""
"Female","243"
"Male","107"
"39",""
"Female","56"
"Male","26"
"4",""
"Female","453"
"Male","476"
"40",""
"Female","360"
"Male","411"
"41",""
"Female","62"
"Male","38"
"42",""
"Female","126"
"Male","98"
"43",""
"Female","103"
"Male","46"
"44",""
"Female","58"
"Male","46"
"45",""
"Female","365"
"Male","361"
"46",""
"Female","67"
"Male","66"
"47",""
"Female","43"
"Male","38"
"48",""
"Female","122"
"Male","107"
"49",""
"Female","46"
"Male","31"
"5",""
"Female","573"
"Male","565"
"50",""
"Female","263"
"Male","305"
"51",""
"Female","37"
"Male","24"
"52",""
"Female","85"
"Male","72"
"53",""
"Female","64"
"Male","34"
"54",""
"Female","57"
"Male","46"
"55",""
"Female","221"
"Male","288"
"56",""
"Female","58"
"Male","48"
"57",""
"Female","26"
"Male","57"
"58",""
"Female","130"
"Male","79"
"59",""
"Female","44"
"Male","24"
"6",""
"Female","507"
"Male","551"
"60",""
"Female","270"
"Male","315"
"61",""
"Female","34"
"Male","32"
"62",""
"Female","81"
"Male","83"
"63",""
"Female","47"
"Male","29"
"64",""
"Female","46"
"Male","48"
"65",""
"Female","224"
"Male","232"
"66",""
"Female","33"
"Male","41"
"67",""
"Female","27"
"Male","28"
"68",""
"Female","63"
"Male","69"
"69",""
"Female","24"
"Male","20"
"7",""
"Female","416"
"Male","422"
"70",""
"Female","165"
"Male","194"
"71",""
"Female","13"
"Male","18"
"72",""
"Female","30"
"Male","43"
"73",""
"Female","15"
"Male","10"
"74",""
"Female","6"
"Male","13"
"75",""
"Female","65"
"Male","71"
"76",""
"Female","3"
"Male","6"
"77",""
"Female","5"
"Male","1"
"78",""
"Female","9"
"Male","10"
"79",""
"Female","3"
"Male","4"
"8",""
"Female","636"
"Male","651"
"80",""
"Female","22"
"Male","42"
"81",""
"Female","3"
"Male","2"
"82",""
"Female","5"
"Male","5"
"83",""
"Female","2"
"Male","0"
"84",""
"Female","2"
"Male","0"
"85",""
"Female","31"
"Male","26"
"9",""
"Female","292"
"Male","314"
