"Population by Five Years Age Group","Number"
"0-4",""
"Female","35310"
"Male","35999"
"10-14",""
"Female","42204"
"Male","44243"
"15-19",""
"Female","26251"
"Male","30934"
"20-24",""
"Female","24342"
"Male","21146"
"25-29",""
"Female","25116"
"Male","20260"
"30-34",""
"Female","22923"
"Male","17375"
"35-39",""
"Female","19975"
"Male","17422"
"40-44",""
"Female","16598"
"Male","15397"
"45-49",""
"Female","13869"
"Male","13721"
"50-54",""
"Female","11404"
"Male","12029"
"55-59",""
"Female","10000"
"Male","10645"
"5-9",""
"Female","44384"
"Male","45823"
"60-64",""
"Female","9554"
"Male","9771"
"65-69",""
"Female","6777"
"Male","7462"
"70-74",""
"Female","4190"
"Male","4967"
"75+",""
"Female","3667"
"Male","3822"
