"Industries Employment","Number"
"Accommodation,  food",""
"Female","990"
"Male","1985"
"Administrative, support service",""
"Female","14"
"Male","544"
"Agriculture, forestry and  fishing",""
"Female","95"
"Male","502"
"Arts, entertainment, recreation",""
"Female","0"
"Male","36"
"Construction",""
"Female","2"
"Male","178"
"Education",""
"Female","1738"
"Male","3516"
"Electricity, gas and water",""
"Female","6"
"Male","70"
"Financial intermediation and insurance",""
"Female","539"
"Male","1210"
"Health, social work",""
"Female","298"
"Male","610"
"Information and communication",""
"Female","21"
"Male","98"
"Manufacturing",""
"Female","670"
"Male","5606"
"Other service activities",""
"Female","179"
"Male","1693"
"Professional, scientific, techniqual activity",""
"Female","11"
"Male","118"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","2"
"Male","50"
"Water supply, wet management",""
"Female","2"
"Male","11"
"Wholesale, retail trade",""
"Female","4253"
"Male","11790"
