"Population by Five Years Age Group","Number"
"0-4",""
"Female","12037"
"Male","12595"
"10-14",""
"Female","14752"
"Male","16691"
"15-19",""
"Female","11404"
"Male","14487"
"20-24",""
"Female","10729"
"Male","12492"
"25-29",""
"Female","9866"
"Male","10980"
"30-34",""
"Female","9024"
"Male","9100"
"35-39",""
"Female","7782"
"Male","8805"
"40-44",""
"Female","5806"
"Male","7141"
"45-49",""
"Female","4714"
"Male","5512"
"50-54",""
"Female","3515"
"Male","4496"
"55-59",""
"Female","2844"
"Male","3258"
"5-9",""
"Female","15755"
"Male","17333"
"60-64",""
"Female","2406"
"Male","2984"
"65-69",""
"Female","1579"
"Male","1889"
"70-74",""
"Female","1001"
"Male","1346"
"75+",""
"Female","843"
"Male","920"
