"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","174"
"Male","215"
"","389"
"Badi",""
"Female","4"
"Male","7"
"","11"
"Bangali",""
"Female","280"
"Male","296"
"","576"
"Bantar/Sardar",""
"Female","6"
"Male","12"
"","18"
"Baraee",""
"Female","1780"
"Male","2101"
"","3881"
"Bhote",""
"Female","4"
"Male","8"
"","12"
"Bin",""
"Female","197"
"Male","241"
"","438"
"Brahman - Hill",""
"Female","4122"
"Male","4460"
"","8582"
"Brahman - Tarai",""
"Female","1932"
"Male","2289"
"","4221"
"Chamar/ Harijan/ Ram",""
"Female","3270"
"Male","3638"
"","6908"
"Chhetri",""
"Female","2267"
"Male","2411"
"","4678"
"Dalit Others",""
"Female","8"
"Male","5"
"","13"
"Damai/Dholi",""
"Female","71"
"Male","65"
"","136"
"Danuwar",""
"Female","21"
"Male","17"
"","38"
"Dhanuk",""
"Female","3819"
"Male","4010"
"","7829"
"Dhimal",""
"Female","10"
"Male","7"
"","17"
"Dhobi",""
"Female","1188"
"Male","1343"
"","2531"
"Dhunia",""
"Female","45"
"Male","50"
"","95"
"Dom",""
"Female","331"
"Male","310"
"","641"
"Dusadh/ Pasawan/ Pasi",""
"Female","2230"
"Male","2401"
"","4631"
"Foreigner",""
"Female","20"
"Male","18"
"","38"
"Gaderi/Bhedihar",""
"Female","62"
"Male","74"
"","136"
"Ghale",""
"Female","31"
"Male","32"
"","63"
"Gharti/Bhujel",""
"Female","29"
"Male","37"
"","66"
"Gurung",""
"Female","121"
"Male","120"
"","241"
"Hajam/Thakur",""
"Female","1373"
"Male","1450"
"","2823"
"Halkhor",""
"Female","451"
"Male","447"
"","898"
"Halwai",""
"Female","168"
"Male","194"
"","362"
"Janajati Others",""
"Female","12"
"Male","12"
"","24"
"Jhangad/ Dhagar",""
"Female","162"
"Male","178"
"","340"
"Kahar",""
"Female","208"
"Male","258"
"","466"
"Kalwar",""
"Female","3376"
"Male","3946"
"","7322"
"Kami",""
"Female","148"
"Male","159"
"","307"
"Kanu",""
"Female","7097"
"Male","8320"
"","15417"
"Kathabaniyan",""
"Female","2378"
"Male","2566"
"","4944"
"Kayastha",""
"Female","2433"
"Male","2664"
"","5097"
"Kewat",""
"Female","197"
"Male","193"
"","390"
"Koiri/Kushwaha",""
"Female","3092"
"Male","3670"
"","6762"
"Kumal",""
"Female","837"
"Male","948"
"","1785"
"Kumhar",""
"Female","580"
"Male","618"
"","1198"
"Kurmi",""
"Female","10890"
"Male","12302"
"","23192"
"Limbu",""
"Female","52"
"Male","41"
"","93"
"Lohar",""
"Female","1368"
"Male","1616"
"","2984"
"Magar",""
"Female","411"
"Male","425"
"","836"
"Majhi",""
"Female","92"
"Male","89"
"","181"
"Mali",""
"Female","295"
"Male","375"
"","670"
"Mallaha",""
"Female","1859"
"Male","1995"
"","3854"
"Marwadi",""
"Female","2535"
"Male","2827"
"","5362"
"Musahar",""
"Female","776"
"Male","837"
"","1613"
"Musalman",""
"Female","20996"
"Male","22573"
"","43569"
"Natuwa",""
"Female","236"
"Male","230"
"","466"
"Newar",""
"Female","2796"
"Male","2789"
"","5585"
"Nuniya",""
"Female","1592"
"Male","1821"
"","3413"
"Others",""
"Female","66"
"Male","55"
"","121"
"Punjabi/Sikh",""
"Female","115"
"Male","128"
"","243"
"Rai",""
"Female","523"
"Male","564"
"","1087"
"Rajbansi",""
"Female","11"
"Male","1"
"","12"
"Rajbhar",""
"Female","176"
"Male","207"
"","383"
"Rajdhob",""
"Female","11"
"Male","10"
"","21"
"Rajput",""
"Female","1404"
"Male","1614"
"","3018"
"Sanyasi/Dasnami",""
"Female","1016"
"Male","1094"
"","2110"
"Sarki",""
"Female","26"
"Male","27"
"","53"
"Satar/ Santhal",""
"Female","15"
"Male","17"
"","32"
"Sherpa",""
"Female","55"
"Male","32"
"","87"
"Sonar",""
"Female","3454"
"Male","3928"
"","7382"
"Sudhi",""
"Female","80"
"Male","86"
"","166"
"Sunuwar",""
"Female","9"
"Male","4"
"","13"
"Tamang",""
"Female","482"
"Male","502"
"","984"
"Tatma/Tatwa",""
"Female","1301"
"Male","1559"
"","2860"
"Teli",""
"Female","3949"
"Male","4813"
"","8762"
"Terai Others",""
"Female","1644"
"Male","1773"
"","3417"
"Thakali",""
"Female","10"
"Male","3"
"","13"
"Thakuri",""
"Female","221"
"Male","206"
"","427"
"Tharu",""
"Female","3436"
"Male","4091"
"","7527"
"Undefined Others",""
"Female","45"
"Male","46"
"","91"
"Yadav",""
"Female","7031"
"Male","8583"
"","15614"
"Yakkha",""
"Female","183"
"Male","174"
"","357"
