"Population by Five Years Age Group","Number"
"0-4",""
"Female","1662"
"Male","1707"
"10-14",""
"Female","1610"
"Male","1717"
"15-19",""
"Female","975"
"Male","1232"
"20-24",""
"Female","1036"
"Male","960"
"25-29",""
"Female","985"
"Male","994"
"30-34",""
"Female","1001"
"Male","852"
"35-39",""
"Female","845"
"Male","892"
"40-44",""
"Female","612"
"Male","710"
"45-49",""
"Female","493"
"Male","570"
"50-54",""
"Female","397"
"Male","466"
"55-59",""
"Female","326"
"Male","352"
"5-9",""
"Female","2025"
"Male","2088"
"60-64",""
"Female","373"
"Male","355"
"65-69",""
"Female","336"
"Male","312"
"70-74",""
"Female","230"
"Male","279"
"75+",""
"Female","131"
"Male","161"
