"Population by Five Years Age Group","Number"
"0-4",""
"Female","1282"
"Male","1299"
"10-14",""
"Female","1248"
"Male","1227"
"15-19",""
"Female","659"
"Male","929"
"20-24",""
"Female","776"
"Male","687"
"25-29",""
"Female","768"
"Male","785"
"30-34",""
"Female","707"
"Male","657"
"35-39",""
"Female","563"
"Male","610"
"40-44",""
"Female","465"
"Male","536"
"45-49",""
"Female","423"
"Male","422"
"50-54",""
"Female","356"
"Male","396"
"55-59",""
"Female","278"
"Male","306"
"5-9",""
"Female","1416"
"Male","1500"
"60-64",""
"Female","308"
"Male","271"
"65-69",""
"Female","243"
"Male","278"
"70-74",""
"Female","149"
"Male","186"
"75+",""
"Female","78"
"Male","103"
