"Population by Caste Ethinicity","Number"
"Bangali",""
"Female","153"
"Male","174"
"","327"
"Baraee",""
"Female","643"
"Male","671"
"","1314"
"Bin",""
"Female","62"
"Male","75"
"","137"
"Brahman - Hill",""
"Female","105"
"Male","129"
"","234"
"Brahman - Tarai",""
"Female","45"
"Male","54"
"","99"
"Chamar/ Harijan/ Ram",""
"Female","689"
"Male","754"
"","1443"
"Chamling",""
"Female","11"
"Male","12"
"","23"
"Chhetri",""
"Female","575"
"Male","643"
"","1218"
"Damai/Dholi",""
"Female","16"
"Male","17"
"","33"
"Dhobi",""
"Female","131"
"Male","176"
"","307"
"Dhunia",""
"Female","45"
"Male","52"
"","97"
"Dom",""
"Female","18"
"Male","14"
"","32"
"Dusadh/ Pasawan/ Pasi",""
"Female","392"
"Male","417"
"","809"
"Gaderi/Bhedihar",""
"Female","34"
"Male","37"
"","71"
"Hajam/Thakur",""
"Female","142"
"Male","161"
"","303"
"Halkhor",""
"Female","7"
"Male","6"
"","13"
"Kanu",""
"Female","135"
"Male","143"
"","278"
"Kathabaniyan",""
"Female","127"
"Male","138"
"","265"
"Kayastha",""
"Female","17"
"Male","16"
"","33"
"Koiri/Kushwaha",""
"Female","733"
"Male","697"
"","1430"
"Kumhar",""
"Female","69"
"Male","73"
"","142"
"Kurmi",""
"Female","835"
"Male","928"
"","1763"
"Limbu",""
"Female","9"
"Male","8"
"","17"
"Lohar",""
"Female","346"
"Male","334"
"","680"
"Magar",""
"Female","89"
"Male","104"
"","193"
"Mali",""
"Female","71"
"Male","78"
"","149"
"Mallaha",""
"Female","919"
"Male","1054"
"","1973"
"Marwadi",""
"Female","8"
"Male","4"
"","12"
"Musahar",""
"Female","148"
"Male","168"
"","316"
"Musalman",""
"Female","1177"
"Male","1248"
"","2425"
"Natuwa",""
"Female","6"
"Male","5"
"","11"
"Newar",""
"Female","5"
"Male","7"
"","12"
"Nuniya",""
"Female","44"
"Male","50"
"","94"
"Others",""
"Female","19"
"Male","16"
"","35"
"Rai",""
"Female","9"
"Male","9"
"","18"
"Rajput",""
"Female","117"
"Male","135"
"","252"
"Sanyasi/Dasnami",""
"Female","77"
"Male","97"
"","174"
"Sarki",""
"Female","51"
"Male","48"
"","99"
"Sonar",""
"Female","230"
"Male","278"
"","508"
"Tatma/Tatwa",""
"Female","438"
"Male","464"
"","902"
"Teli",""
"Female","460"
"Male","499"
"","959"
"Terai Others",""
"Female","22"
"Male","19"
"","41"
"Yadav",""
"Female","661"
"Male","761"
"","1422"
"Yakkha",""
"Female","28"
"Male","26"
"","54"
