"Population by Mother tongue","Number"
"Bangla",""
"Female","9"
"Male","5"
"","14"
"Bhojpuri",""
"Female","9633"
"Male","9851"
"","19484"
"Chepang",""
"Female","6"
"Male","6"
"","12"
"Doteli",""
"Female","26"
"Male","22"
"","48"
"Magar",""
"Female","136"
"Male","131"
"","267"
"Maithili",""
"Female","153"
"Male","174"
"","327"
"Nepali",""
"Female","495"
"Male","441"
"","936"
"Newar",""
"Female","13"
"Male","5"
"","18"
"Not Reported",""
"Female","10"
"Male","15"
"","25"
"Others",""
"Female","21"
"Male","14"
"","35"
"Sunuwar",""
"Female","72"
"Male","80"
"","152"
"Tamang",""
"Female","57"
"Male","65"
"","122"
"Tharu",""
"Female","931"
"Male","995"
"","1926"
"Uranw/Urau",""
"Female","148"
"Male","159"
"","307"
"Urdu",""
"Female","111"
"Male","117"
"","228"
