"Population by Single Year of Age","Number"
"0",""
"Female","263"
"Male","287"
"1",""
"Female","351"
"Male","315"
"10",""
"Female","616"
"Male","638"
"11",""
"Female","207"
"Male","216"
"12",""
"Female","465"
"Male","583"
"13",""
"Female","242"
"Male","294"
"14",""
"Female","305"
"Male","341"
"15",""
"Female","269"
"Male","356"
"16",""
"Female","306"
"Male","376"
"17",""
"Female","147"
"Male","213"
"18",""
"Female","322"
"Male","401"
"19",""
"Female","128"
"Male","172"
"2",""
"Female","480"
"Male","482"
"20",""
"Female","430"
"Male","419"
"21",""
"Female","157"
"Male","129"
"22",""
"Female","317"
"Male","350"
"23",""
"Female","249"
"Male","172"
"24",""
"Female","239"
"Male","212"
"25",""
"Female","391"
"Male","555"
"26",""
"Female","190"
"Male","194"
"27",""
"Female","173"
"Male","147"
"28",""
"Female","401"
"Male","331"
"29",""
"Female","61"
"Male","49"
"3",""
"Female","553"
"Male","518"
"30",""
"Female","536"
"Male","566"
"31",""
"Female","52"
"Male","54"
"32",""
"Female","309"
"Male","288"
"33",""
"Female","194"
"Male","83"
"34",""
"Female","147"
"Male","107"
"35",""
"Female","389"
"Male","612"
"36",""
"Female","157"
"Male","168"
"37",""
"Female","109"
"Male","74"
"38",""
"Female","261"
"Male","209"
"39",""
"Female","33"
"Male","35"
"4",""
"Female","540"
"Male","522"
"40",""
"Female","382"
"Male","522"
"41",""
"Female","41"
"Male","39"
"42",""
"Female","158"
"Male","144"
"43",""
"Female","107"
"Male","49"
"44",""
"Female","51"
"Male","47"
"45",""
"Female","312"
"Male","440"
"46",""
"Female","60"
"Male","44"
"47",""
"Female","44"
"Male","43"
"48",""
"Female","157"
"Male","117"
"49",""
"Female","32"
"Male","18"
"5",""
"Female","602"
"Male","682"
"50",""
"Female","292"
"Male","358"
"51",""
"Female","35"
"Male","38"
"52",""
"Female","80"
"Male","71"
"53",""
"Female","69"
"Male","39"
"54",""
"Female","35"
"Male","35"
"55",""
"Female","261"
"Male","315"
"56",""
"Female","43"
"Male","47"
"57",""
"Female","30"
"Male","37"
"58",""
"Female","123"
"Male","82"
"59",""
"Female","15"
"Male","19"
"6",""
"Female","542"
"Male","579"
"60",""
"Female","302"
"Male","329"
"61",""
"Female","36"
"Male","30"
"62",""
"Female","79"
"Male","77"
"63",""
"Female","35"
"Male","23"
"64",""
"Female","18"
"Male","29"
"65",""
"Female","249"
"Male","264"
"66",""
"Female","26"
"Male","24"
"67",""
"Female","30"
"Male","26"
"68",""
"Female","67"
"Male","68"
"69",""
"Female","7"
"Male","16"
"7",""
"Female","468"
"Male","376"
"70",""
"Female","185"
"Male","242"
"71",""
"Female","15"
"Male","20"
"72",""
"Female","45"
"Male","49"
"73",""
"Female","11"
"Male","8"
"74",""
"Female","6"
"Male","8"
"75",""
"Female","57"
"Male","69"
"76",""
"Female","9"
"Male","2"
"77",""
"Female","3"
"Male","7"
"78",""
"Female","5"
"Male","8"
"79",""
"Female","1"
"Male","3"
"8",""
"Female","632"
"Male","621"
"80",""
"Female","17"
"Male","32"
"81",""
"Female","2"
"Male","2"
"82",""
"Female","2"
"Male","1"
"84",""
"Female","1"
"Male","0"
"85",""
"Female","14"
"Male","27"
"9",""
"Female","244"
"Male","265"
