"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","12779"
"Male","13286"
"","26065"
"Doteli",""
"Female","8"
"Male","12"
"","20"
"Maithili",""
"Female","363"
"Male","391"
"","754"
"Nepali",""
"Female","621"
"Male","595"
"","1216"
"Newar",""
"Female","18"
"Male","19"
"","37"
"Not Reported",""
"Female","5"
"Male","8"
"","13"
"Others",""
"Female","10"
"Male","4"
"","14"
"Rai",""
"Female","7"
"Male","8"
"","15"
"Tamang",""
"Female","108"
"Male","99"
"","207"
"Tharu",""
"Female","1907"
"Male","1932"
"","3839"
"Uranw/Urau",""
"Female","389"
"Male","415"
"","804"
"Urdu",""
"Female","35"
"Male","29"
"","64"
