"Population by Educational Attainment","Number"
"Beginners",""
"Female","262"
"Male","324"
"","586"
"Graduate and Equivalent",""
"Female","32"
"Male","81"
"","113"
"Intermediate and Equivalent",""
"Female","205"
"Male","224"
"","429"
"Level not Stated",""
"Female","15"
"Male","18"
"","33"
"Lower Secondary (Class 6-8)",""
"Female","1423"
"Male","1765"
"","3188"
"Non Formal Education",""
"Female","442"
"Male","407"
"","849"
"Others",""
"Female","12"
"Male","7"
"","19"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","32"
"","35"
"Primary Education (1-5 Class)",""
"Female","2436"
"Male","2682"
"","5118"
"Secondary Level (Class 9-10)",""
"Female","659"
"Male","918"
"","1577"
"SLC and Equivalent",""
"Female","429"
"Male","590"
"","1019"
