"Population by Five Years Age Group","Number"
"0-4",""
"Female","2086"
"Male","2243"
"10-14",""
"Female","2192"
"Male","2367"
"15-19",""
"Female","1129"
"Male","1531"
"20-24",""
"Female","1166"
"Male","1181"
"25-29",""
"Female","1108"
"Male","1154"
"30-34",""
"Female","1165"
"Male","1054"
"35-39",""
"Female","956"
"Male","1031"
"40-44",""
"Female","789"
"Male","841"
"45-49",""
"Female","663"
"Male","711"
"50-54",""
"Female","441"
"Male","597"
"55-59",""
"Female","414"
"Male","462"
"5-9",""
"Female","2613"
"Male","2720"
"60-64",""
"Female","456"
"Male","427"
"65-69",""
"Female","339"
"Male","411"
"70-74",""
"Female","264"
"Male","299"
"75+",""
"Female","233"
"Male","222"
