"Population by Educational Attainment","Number"
"Beginners",""
"Female","416"
"Male","482"
"Graduate and Equivalent",""
"Female","355"
"Male","658"
"Intermediate and Equivalent",""
"Female","1344"
"Male","1668"
"Level not Stated",""
"Female","404"
"Male","545"
"Lower Secondary (Class 6-8)",""
"Female","3308"
"Male","4091"
"Non Formal Education",""
"Female","457"
"Male","481"
"Others",""
"Female","8"
"Male","16"
"Post Graduate Equivalent and Above",""
"Female","60"
"Male","205"
"Primary Education (1-5 Class)",""
"Female","7083"
"Male","8994"
"Secondary Level (Class 9-10)",""
"Female","1907"
"Male","2616"
"SLC and Equivalent",""
"Female","1888"
"Male","2725"
