"Population by Educational Attainment","Number"
"Beginners",""
"Female","416"
"Male","482"
"","898"
"Graduate and Equivalent",""
"Female","355"
"Male","658"
"","1013"
"Intermediate and Equivalent",""
"Female","1344"
"Male","1668"
"","3012"
"Level not Stated",""
"Female","404"
"Male","545"
"","949"
"Lower Secondary (Class 6-8)",""
"Female","3308"
"Male","4091"
"","7399"
"Non Formal Education",""
"Female","457"
"Male","481"
"","938"
"Others",""
"Female","8"
"Male","16"
"","24"
"Post Graduate Equivalent and Above",""
"Female","60"
"Male","205"
"","265"
"Primary Education (1-5 Class)",""
"Female","7083"
"Male","8994"
"","16077"
"Secondary Level (Class 9-10)",""
"Female","1907"
"Male","2616"
"","4523"
"SLC and Equivalent",""
"Female","1888"
"Male","2725"
"","4613"
