"Population by Single Year of Age","Number"
"0",""
"Female","441"
"Male","424"
"1",""
"Female","310"
"Male","306"
"10",""
"Female","828"
"Male","892"
"11",""
"Female","405"
"Male","304"
"12",""
"Female","668"
"Male","692"
"13",""
"Female","350"
"Male","313"
"14",""
"Female","399"
"Male","448"
"15",""
"Female","441"
"Male","472"
"16",""
"Female","408"
"Male","438"
"17",""
"Female","258"
"Male","300"
"18",""
"Female","470"
"Male","563"
"19",""
"Female","168"
"Male","180"
"2",""
"Female","538"
"Male","555"
"20",""
"Female","573"
"Male","706"
"21",""
"Female","136"
"Male","134"
"22",""
"Female","347"
"Male","401"
"23",""
"Female","287"
"Male","198"
"24",""
"Female","243"
"Male","222"
"25",""
"Female","579"
"Male","709"
"26",""
"Female","191"
"Male","220"
"27",""
"Female","169"
"Male","200"
"28",""
"Female","426"
"Male","347"
"29",""
"Female","66"
"Male","78"
"3",""
"Female","613"
"Male","622"
"30",""
"Female","787"
"Male","760"
"31",""
"Female","38"
"Male","39"
"32",""
"Female","349"
"Male","258"
"33",""
"Female","144"
"Male","89"
"34",""
"Female","110"
"Male","102"
"35",""
"Female","659"
"Male","860"
"36",""
"Female","127"
"Male","130"
"37",""
"Female","86"
"Male","120"
"38",""
"Female","290"
"Male","188"
"39",""
"Female","47"
"Male","42"
"4",""
"Female","623"
"Male","580"
"40",""
"Female","549"
"Male","781"
"41",""
"Female","22"
"Male","40"
"42",""
"Female","188"
"Male","150"
"43",""
"Female","72"
"Male","52"
"44",""
"Female","45"
"Male","34"
"45",""
"Female","453"
"Male","598"
"46",""
"Female","54"
"Male","61"
"47",""
"Female","53"
"Male","70"
"48",""
"Female","182"
"Male","107"
"49",""
"Female","20"
"Male","34"
"5",""
"Female","690"
"Male","713"
"50",""
"Female","387"
"Male","535"
"51",""
"Female","16"
"Male","17"
"52",""
"Female","70"
"Male","76"
"53",""
"Female","53"
"Male","29"
"54",""
"Female","28"
"Male","27"
"55",""
"Female","353"
"Male","365"
"56",""
"Female","31"
"Male","46"
"57",""
"Female","16"
"Male","36"
"58",""
"Female","109"
"Male","59"
"59",""
"Female","21"
"Male","21"
"6",""
"Female","641"
"Male","648"
"60",""
"Female","383"
"Male","474"
"61",""
"Female","15"
"Male","17"
"62",""
"Female","70"
"Male","46"
"63",""
"Female","31"
"Male","16"
"64",""
"Female","22"
"Male","15"
"65",""
"Female","281"
"Male","319"
"66",""
"Female","30"
"Male","23"
"67",""
"Female","22"
"Male","15"
"68",""
"Female","55"
"Male","48"
"69",""
"Female","17"
"Male","21"
"7",""
"Female","576"
"Male","566"
"70",""
"Female","214"
"Male","312"
"71",""
"Female","10"
"Male","12"
"72",""
"Female","28"
"Male","43"
"73",""
"Female","11"
"Male","4"
"74",""
"Female","1"
"Male","2"
"75",""
"Female","81"
"Male","114"
"76",""
"Female","5"
"Male","6"
"77",""
"Female","5"
"Male","4"
"78",""
"Female","17"
"Male","13"
"79",""
"Female","1"
"Male","4"
"8",""
"Female","758"
"Male","786"
"80",""
"Female","45"
"Male","59"
"81",""
"Female","1"
"Male","2"
"82",""
"Female","1"
"Male","0"
"83",""
"Female","0"
"Male","1"
"85",""
"Female","43"
"Male","43"
"9",""
"Female","355"
"Male","349"
