"Population by Mother tongue","Number"
"Bajjika",""
"Female","19376"
"Male","20695"
"","40071"
"Bangla",""
"Female","16"
"Male","26"
"","42"
"Bhojpuri",""
"Female","170"
"Male","171"
"","341"
"Doteli",""
"Female","91"
"Male","123"
"","214"
"Hindi",""
"Female","15"
"Male","12"
"","27"
"Magar",""
"Female","71"
"Male","87"
"","158"
"Maithili",""
"Female","185"
"Male","229"
"","414"
"Nepali",""
"Female","338"
"Male","422"
"","760"
"Newar",""
"Female","12"
"Male","10"
"","22"
"Not Reported",""
"Female","37"
"Male","37"
"","74"
"Others",""
"Female","13"
"Male","7"
"","20"
"Rai",""
"Female","38"
"Male","43"
"","81"
"Urdu",""
"Female","4085"
"Male","4099"
"","8184"
"Yakkha",""
"Female","36"
"Male","37"
"","73"
