"Population by Five Years Age Group","Number"
"0-4",""
"Female","1746"
"Male","1768"
"10-14",""
"Female","2323"
"Male","2553"
"15-19",""
"Female","1465"
"Male","1886"
"20-24",""
"Female","1312"
"Male","1591"
"25-29",""
"Female","1294"
"Male","1478"
"30-34",""
"Female","1360"
"Male","1244"
"35-39",""
"Female","1177"
"Male","1344"
"40-44",""
"Female","854"
"Male","1055"
"45-49",""
"Female","672"
"Male","827"
"50-54",""
"Female","508"
"Male","627"
"55-59",""
"Female","473"
"Male","439"
"5-9",""
"Female","2373"
"Male","2614"
"60-64",""
"Female","435"
"Male","508"
"65-69",""
"Female","313"
"Male","350"
"70-74",""
"Female","194"
"Male","233"
"75+",""
"Female","174"
"Male","180"
