"Population by Caste Ethinicity","Number"
"Bangali",""
"Female","4"
"Male","9"
"","13"
"Bin",""
"Female","903"
"Male","992"
"","1895"
"Brahman - Hill",""
"Female","95"
"Male","114"
"","209"
"Brahman - Tarai",""
"Female","141"
"Male","167"
"","308"
"Chamar/ Harijan/ Ram",""
"Female","825"
"Male","881"
"","1706"
"Chhetri",""
"Female","6"
"Male","6"
"","12"
"Dhanuk",""
"Female","15"
"Male","17"
"","32"
"Dhobi",""
"Female","490"
"Male","552"
"","1042"
"Dhunia",""
"Female","147"
"Male","146"
"","293"
"Dom",""
"Female","45"
"Male","42"
"","87"
"Dusadh/ Pasawan/ Pasi",""
"Female","940"
"Male","1070"
"","2010"
"Gaderi/Bhedihar",""
"Female","60"
"Male","49"
"","109"
"Hajam/Thakur",""
"Female","456"
"Male","447"
"","903"
"Kahar",""
"Female","211"
"Male","239"
"","450"
"Kalwar",""
"Female","882"
"Male","891"
"","1773"
"Kami",""
"Female","15"
"Male","13"
"","28"
"Kanu",""
"Female","816"
"Male","856"
"","1672"
"Kathabaniyan",""
"Female","205"
"Male","242"
"","447"
"Kayastha",""
"Female","28"
"Male","30"
"","58"
"Kewat",""
"Female","25"
"Male","23"
"","48"
"Koiri/Kushwaha",""
"Female","1122"
"Male","1209"
"","2331"
"Kumhar",""
"Female","576"
"Male","617"
"","1193"
"Kurmi",""
"Female","31"
"Male","36"
"","67"
"Lohar",""
"Female","292"
"Male","310"
"","602"
"Mali",""
"Female","102"
"Male","110"
"","212"
"Mallaha",""
"Female","1248"
"Male","1258"
"","2506"
"Musahar",""
"Female","142"
"Male","160"
"","302"
"Musalman",""
"Female","186"
"Male","221"
"","407"
"Nuniya",""
"Female","278"
"Male","288"
"","566"
"Others",""
"Female","46"
"Male","28"
"","74"
"Sanyasi/Dasnami",""
"Female","160"
"Male","191"
"","351"
"Sonar",""
"Female","220"
"Male","225"
"","445"
"Sudhi",""
"Female","310"
"Male","365"
"","675"
"Sunuwar",""
"Female","16"
"Male","21"
"","37"
"Tatma/Tatwa",""
"Female","522"
"Male","568"
"","1090"
"Teli",""
"Female","1903"
"Male","2091"
"","3994"
"Terai Others",""
"Female","78"
"Male","77"
"","155"
"Tharu",""
"Female","18"
"Male","19"
"","37"
"Yadav",""
"Female","3325"
"Male","3643"
"","6968"
"Yakkha",""
"Female","38"
"Male","30"
"","68"
