"Population by Caste/Ethinicity","Number"
"Baraee",""
"Female","312"
"Male","347"
"Bin",""
"Female","92"
"Male","93"
"Brahman - Hill",""
"Female","123"
"Male","142"
"Brahman - Tarai",""
"Female","20"
"Male","32"
"Chamar/ Harijan/ Ram",""
"Female","540"
"Male","511"
"Chhetri",""
"Female","2"
"Male","12"
"Dhanuk",""
"Female","36"
"Male","40"
"Dhobi",""
"Female","388"
"Male","406"
"Dom",""
"Female","25"
"Male","26"
"Dusadh/ Pasawan/ Pasi",""
"Female","407"
"Male","435"
"Gaderi/Bhedihar",""
"Female","28"
"Male","29"
"Hajam/Thakur",""
"Female","265"
"Male","257"
"Kahar",""
"Female","14"
"Male","6"
"Kalwar",""
"Female","531"
"Male","605"
"Kanu",""
"Female","431"
"Male","472"
"Kathabaniyan",""
"Female","12"
"Male","21"
"Kayastha",""
"Female","10"
"Male","8"
"Koiri/Kushwaha",""
"Female","322"
"Male","360"
"Kumal",""
"Female","15"
"Male","18"
"Kumhar",""
"Female","436"
"Male","482"
"Kurmi",""
"Female","2529"
"Male","2640"
"Lohar",""
"Female","421"
"Male","475"
"Mali",""
"Female","33"
"Male","42"
"Mallaha",""
"Female","286"
"Male","288"
"Musahar",""
"Female","102"
"Male","116"
"Musalman",""
"Female","7564"
"Male","7735"
"Natuwa",""
"Female","5"
"Male","7"
"Nuniya",""
"Female","646"
"Male","708"
"Others",""
"Female","24"
"Male","13"
"Rajput",""
"Female","173"
"Male","192"
"Sanyasi/Dasnami",""
"Female","134"
"Male","118"
"Sonar",""
"Female","120"
"Male","117"
"Tatma/Tatwa",""
"Female","233"
"Male","263"
"Teli",""
"Female","843"
"Male","923"
"Terai Others",""
"Female","35"
"Male","35"
"Yadav",""
"Female","1071"
"Male","1218"
"Yakkha",""
"Female","16"
"Male","17"
