"Population by Five Years Age Group","Number"
"0-4",""
"Female","2173"
"Male","1942"
"10-14",""
"Female","2404"
"Male","2589"
"15-19",""
"Female","1643"
"Male","1839"
"20-24",""
"Female","1419"
"Male","1407"
"25-29",""
"Female","1379"
"Male","1433"
"30-34",""
"Female","1206"
"Male","1229"
"35-39",""
"Female","1114"
"Male","1166"
"40-44",""
"Female","905"
"Male","991"
"45-49",""
"Female","668"
"Male","781"
"50-54",""
"Female","519"
"Male","645"
"55-59",""
"Female","465"
"Male","472"
"5-9",""
"Female","2706"
"Male","2636"
"60-64",""
"Female","459"
"Male","503"
"65-69",""
"Female","349"
"Male","379"
"70-74",""
"Female","247"
"Male","279"
"75+",""
"Female","197"
"Male","164"
