"Population by Five Years Age Group","Number"
"0-4",""
"Female","1843"
"Male","1878"
"10-14",""
"Female","1938"
"Male","2077"
"15-19",""
"Female","1166"
"Male","1563"
"20-24",""
"Female","1069"
"Male","1249"
"25-29",""
"Female","1122"
"Male","1218"
"30-34",""
"Female","1144"
"Male","1033"
"35-39",""
"Female","952"
"Male","1094"
"40-44",""
"Female","650"
"Male","863"
"45-49",""
"Female","526"
"Male","654"
"50-54",""
"Female","393"
"Male","459"
"55-59",""
"Female","421"
"Male","403"
"5-9",""
"Female","2173"
"Male","2296"
"60-64",""
"Female","409"
"Male","438"
"65-69",""
"Female","358"
"Male","367"
"70-74",""
"Female","245"
"Male","295"
"75+",""
"Female","162"
"Male","171"
