"Population by Single Year of Age","Number"
"0",""
"Female","535"
"Male","508"
"1",""
"Female","365"
"Male","320"
"10",""
"Female","996"
"Male","1061"
"11",""
"Female","373"
"Male","343"
"12",""
"Female","729"
"Male","757"
"13",""
"Female","366"
"Male","348"
"14",""
"Female","401"
"Male","391"
"15",""
"Female","474"
"Male","487"
"16",""
"Female","420"
"Male","408"
"17",""
"Female","242"
"Male","252"
"18",""
"Female","451"
"Male","474"
"19",""
"Female","141"
"Male","141"
"2",""
"Female","690"
"Male","672"
"20",""
"Female","582"
"Male","488"
"21",""
"Female","134"
"Male","144"
"22",""
"Female","383"
"Male","310"
"23",""
"Female","242"
"Male","140"
"24",""
"Female","162"
"Male","138"
"25",""
"Female","716"
"Male","579"
"26",""
"Female","156"
"Male","169"
"27",""
"Female","176"
"Male","160"
"28",""
"Female","442"
"Male","313"
"29",""
"Female","65"
"Male","70"
"3",""
"Female","743"
"Male","726"
"30",""
"Female","651"
"Male","693"
"31",""
"Female","69"
"Male","64"
"32",""
"Female","319"
"Male","248"
"33",""
"Female","177"
"Male","104"
"34",""
"Female","113"
"Male","78"
"35",""
"Female","613"
"Male","703"
"36",""
"Female","128"
"Male","126"
"37",""
"Female","100"
"Male","72"
"38",""
"Female","275"
"Male","187"
"39",""
"Female","48"
"Male","42"
"4",""
"Female","682"
"Male","661"
"40",""
"Female","558"
"Male","649"
"41",""
"Female","59"
"Male","57"
"42",""
"Female","173"
"Male","146"
"43",""
"Female","93"
"Male","38"
"44",""
"Female","38"
"Male","36"
"45",""
"Female","472"
"Male","564"
"46",""
"Female","52"
"Male","41"
"47",""
"Female","38"
"Male","50"
"48",""
"Female","129"
"Male","92"
"49",""
"Female","27"
"Male","28"
"5",""
"Female","793"
"Male","856"
"50",""
"Female","386"
"Male","495"
"51",""
"Female","35"
"Male","32"
"52",""
"Female","59"
"Male","58"
"53",""
"Female","49"
"Male","20"
"54",""
"Female","33"
"Male","23"
"55",""
"Female","322"
"Male","347"
"56",""
"Female","43"
"Male","40"
"57",""
"Female","48"
"Male","42"
"58",""
"Female","100"
"Male","60"
"59",""
"Female","22"
"Male","12"
"6",""
"Female","723"
"Male","773"
"60",""
"Female","334"
"Male","417"
"61",""
"Female","31"
"Male","25"
"62",""
"Female","91"
"Male","61"
"63",""
"Female","38"
"Male","22"
"64",""
"Female","21"
"Male","25"
"65",""
"Female","290"
"Male","306"
"66",""
"Female","24"
"Male","22"
"67",""
"Female","26"
"Male","28"
"68",""
"Female","60"
"Male","70"
"69",""
"Female","9"
"Male","14"
"7",""
"Female","600"
"Male","613"
"70",""
"Female","216"
"Male","241"
"71",""
"Female","23"
"Male","24"
"72",""
"Female","26"
"Male","43"
"73",""
"Female","17"
"Male","22"
"74",""
"Female","7"
"Male","13"
"75",""
"Female","79"
"Male","83"
"76",""
"Female","4"
"Male","5"
"77",""
"Female","4"
"Male","4"
"78",""
"Female","9"
"Male","8"
"79",""
"Female","3"
"Male","1"
"8",""
"Female","925"
"Male","957"
"80",""
"Female","46"
"Male","64"
"81",""
"Female","0"
"Male","1"
"82",""
"Female","0"
"Male","3"
"83",""
"Female","1"
"Male","1"
"84",""
"Female","0"
"Male","1"
"85",""
"Female","42"
"Male","43"
"9",""
"Female","418"
"Male","428"
