"Population by Five Years Age Group","Number"
"0-4",""
"Female","1505"
"Male","1553"
"10-14",""
"Female","1488"
"Male","1645"
"15-19",""
"Female","984"
"Male","1095"
"20-24",""
"Female","929"
"Male","834"
"25-29",""
"Female","860"
"Male","846"
"30-34",""
"Female","813"
"Male","754"
"35-39",""
"Female","727"
"Male","773"
"40-44",""
"Female","530"
"Male","573"
"45-49",""
"Female","397"
"Male","491"
"50-54",""
"Female","307"
"Male","387"
"55-59",""
"Female","311"
"Male","310"
"5-9",""
"Female","1952"
"Male","1944"
"60-64",""
"Female","327"
"Male","326"
"65-69",""
"Female","263"
"Male","287"
"70-74",""
"Female","184"
"Male","235"
"75+",""
"Female","96"
"Male","158"
