"Population by Caste Ethinicity","Number"
"Baraee",""
"Female","61"
"Male","75"
"","136"
"Bin",""
"Female","634"
"Male","659"
"","1293"
"Brahman - Hill",""
"Female","116"
"Male","97"
"","213"
"Brahman - Tarai",""
"Female","31"
"Male","34"
"","65"
"Chamar/ Harijan/ Ram",""
"Female","284"
"Male","279"
"","563"
"Chhetri",""
"Female","13"
"Male","16"
"","29"
"Dhobi",""
"Female","415"
"Male","438"
"","853"
"Dhunia",""
"Female","183"
"Male","160"
"","343"
"Dom",""
"Female","8"
"Male","3"
"","11"
"Dusadh/ Pasawan/ Pasi",""
"Female","360"
"Male","386"
"","746"
"Foreigner",""
"Female","20"
"Male","23"
"","43"
"Hajam/Thakur",""
"Female","150"
"Male","167"
"","317"
"Kahar",""
"Female","72"
"Male","108"
"","180"
"Kalwar",""
"Female","32"
"Male","46"
"","78"
"Kami",""
"Female","15"
"Male","21"
"","36"
"Kanu",""
"Female","565"
"Male","626"
"","1191"
"Kathabaniyan",""
"Female","234"
"Male","256"
"","490"
"Kayastha",""
"Female","20"
"Male","22"
"","42"
"Kumhar",""
"Female","237"
"Male","238"
"","475"
"Kurmi",""
"Female","475"
"Male","480"
"","955"
"Lohar",""
"Female","267"
"Male","298"
"","565"
"Mali",""
"Female","8"
"Male","10"
"","18"
"Mallaha",""
"Female","364"
"Male","335"
"","699"
"Musahar",""
"Female","37"
"Male","48"
"","85"
"Musalman",""
"Female","4646"
"Male","4710"
"","9356"
"Nuniya",""
"Female","88"
"Male","100"
"","188"
"Others",""
"Female","17"
"Male","12"
"","29"
"Rai",""
"Female","7"
"Male","8"
"","15"
"Rajbhar",""
"Female","16"
"Male","13"
"","29"
"Rajput",""
"Female","106"
"Male","113"
"","219"
"Sanyasi/Dasnami",""
"Female","60"
"Male","71"
"","131"
"Sonar",""
"Female","23"
"Male","25"
"","48"
"Tatma/Tatwa",""
"Female","128"
"Male","141"
"","269"
"Teli",""
"Female","785"
"Male","886"
"","1671"
"Terai Others",""
"Female","5"
"Male","11"
"","16"
"Yadav",""
"Female","1191"
"Male","1296"
"","2487"
