"Population by Mother tongue","Number"
"Bajjika",""
"Female","199622"
"Male","214198"
"","413820"
"Bangla",""
"Female","179"
"Male","188"
"","367"
"Bhojpuri",""
"Female","14390"
"Male","15086"
"","29476"
"Danuwar",""
"Female","431"
"Male","396"
"","827"
"Darai",""
"Female","63"
"Male","73"
"","136"
"Doteli",""
"Female","289"
"Male","353"
"","642"
"Ganagai",""
"Female","117"
"Male","130"
"","247"
"Gurung",""
"Female","86"
"Male","75"
"","161"
"Hindi",""
"Female","391"
"Male","417"
"","808"
"Kham",""
"Female","46"
"Male","42"
"","88"
"Limbu",""
"Female","13"
"Male","12"
"","25"
"Magar",""
"Female","1271"
"Male","1203"
"","2474"
"Maithili",""
"Female","9986"
"Male","10568"
"","20554"
"Majhi",""
"Female","750"
"Male","703"
"","1453"
"Mewahang",""
"Female","64"
"Male","56"
"","120"
"Nepali",""
"Female","21073"
"Male","20634"
"","41707"
"Newar",""
"Female","691"
"Male","692"
"","1383"
"Not Reported",""
"Female","1106"
"Male","1226"
"","2332"
"Others",""
"Female","294"
"Male","201"
"","495"
"Pahari",""
"Female","39"
"Male","44"
"","83"
"Rai",""
"Female","723"
"Male","770"
"","1493"
"Rajbanshi",""
"Female","11"
"Male","18"
"","29"
"Rajsthani",""
"Female","114"
"Male","123"
"","237"
"Sherpa",""
"Female","5"
"Male","6"
"","11"
"Sign Language",""
"Female","8"
"Male","14"
"","22"
"Sunuwar",""
"Female","152"
"Male","142"
"","294"
"Tajpuriya",""
"Female","21"
"Male","25"
"","46"
"Tamang",""
"Female","5776"
"Male","5821"
"","11597"
"Thami",""
"Female","6"
"Male","6"
"","12"
"Tharu",""
"Female","11197"
"Male","11194"
"","22391"
"Urdu",""
"Female","66386"
"Male","65729"
"","132115"
"Waling/Walung",""
"Female","3"
"Male","8"
"","11"
"Yakkha",""
"Female","308"
"Male","295"
"","603"
