"Population by Single Year of Age","Number"
"0",""
"Female","177"
"Male","204"
"1",""
"Female","156"
"Male","159"
"10",""
"Female","434"
"Male","384"
"11",""
"Female","197"
"Male","172"
"12",""
"Female","308"
"Male","303"
"13",""
"Female","207"
"Male","211"
"14",""
"Female","204"
"Male","205"
"15",""
"Female","226"
"Male","268"
"16",""
"Female","212"
"Male","197"
"17",""
"Female","130"
"Male","140"
"18",""
"Female","211"
"Male","254"
"19",""
"Female","111"
"Male","111"
"2",""
"Female","249"
"Male","268"
"20",""
"Female","265"
"Male","239"
"21",""
"Female","95"
"Male","123"
"22",""
"Female","192"
"Male","207"
"23",""
"Female","123"
"Male","111"
"24",""
"Female","139"
"Male","106"
"25",""
"Female","309"
"Male","310"
"26",""
"Female","121"
"Male","93"
"27",""
"Female","119"
"Male","101"
"28",""
"Female","251"
"Male","189"
"29",""
"Female","56"
"Male","49"
"3",""
"Female","259"
"Male","302"
"30",""
"Female","404"
"Male","348"
"31",""
"Female","37"
"Male","43"
"32",""
"Female","175"
"Male","155"
"33",""
"Female","96"
"Male","34"
"34",""
"Female","107"
"Male","45"
"35",""
"Female","313"
"Male","405"
"36",""
"Female","86"
"Male","98"
"37",""
"Female","74"
"Male","55"
"38",""
"Female","162"
"Male","91"
"39",""
"Female","58"
"Male","43"
"4",""
"Female","300"
"Male","286"
"40",""
"Female","279"
"Male","364"
"41",""
"Female","19"
"Male","41"
"42",""
"Female","128"
"Male","92"
"43",""
"Female","97"
"Male","39"
"44",""
"Female","69"
"Male","28"
"45",""
"Female","258"
"Male","358"
"46",""
"Female","39"
"Male","38"
"47",""
"Female","34"
"Male","33"
"48",""
"Female","101"
"Male","60"
"49",""
"Female","46"
"Male","24"
"5",""
"Female","358"
"Male","368"
"50",""
"Female","210"
"Male","272"
"51",""
"Female","16"
"Male","22"
"52",""
"Female","59"
"Male","50"
"53",""
"Female","49"
"Male","17"
"54",""
"Female","66"
"Male","9"
"55",""
"Female","176"
"Male","282"
"56",""
"Female","31"
"Male","33"
"57",""
"Female","29"
"Male","28"
"58",""
"Female","104"
"Male","63"
"59",""
"Female","40"
"Male","33"
"6",""
"Female","329"
"Male","295"
"60",""
"Female","211"
"Male","215"
"61",""
"Female","33"
"Male","28"
"62",""
"Female","63"
"Male","60"
"63",""
"Female","34"
"Male","27"
"64",""
"Female","41"
"Male","20"
"65",""
"Female","174"
"Male","200"
"66",""
"Female","22"
"Male","19"
"67",""
"Female","11"
"Male","15"
"68",""
"Female","30"
"Male","29"
"69",""
"Female","20"
"Male","15"
"7",""
"Female","311"
"Male","365"
"70",""
"Female","151"
"Male","124"
"71",""
"Female","11"
"Male","18"
"72",""
"Female","30"
"Male","30"
"73",""
"Female","14"
"Male","6"
"74",""
"Female","13"
"Male","3"
"75",""
"Female","75"
"Male","97"
"76",""
"Female","8"
"Male","6"
"77",""
"Female","4"
"Male","7"
"78",""
"Female","4"
"Male","4"
"79",""
"Female","3"
"Male","0"
"8",""
"Female","378"
"Male","399"
"80",""
"Female","32"
"Male","32"
"81",""
"Female","1"
"Male","2"
"82",""
"Female","0"
"Male","1"
"83",""
"Female","1"
"Male","1"
"85",""
"Female","16"
"Male","13"
"9",""
"Female","232"
"Male","225"
