"Population by disability type","Number"
"Blind/low vision",""
"Female","22"
"Male","25"
"","47"
"Deaf/hard of hearing",""
"Female","25"
"Male","16"
"","41"
"Deaf-Blind",""
"Female","2"
"Male","6"
"","8"
"Intellectual disable",""
"Female","4"
"Male","6"
"","10"
"Mental disable",""
"Female","9"
"Male","17"
"","26"
"Multiple disable",""
"Female","5"
"Male","7"
"","12"
"No disability",""
"Female","11477"
"Male","11257"
"","22734"
"Physical",""
"Female","43"
"Male","84"
"","127"
"Speech problem",""
"Female","13"
"Male","20"
"","33"
