"Population by Mother tongue","Number"
"Bhujel",""
"Female","14"
"Male","14"
"","28"
"Gurung",""
"Female","5"
"Male","10"
"","15"
"Maithili",""
"Female","19198"
"Male","18809"
"","38007"
"Meche",""
"Female","88"
"Male","89"
"","177"
"Nepali",""
"Female","183"
"Male","148"
"","331"
"Newar",""
"Female","11"
"Male","6"
"","17"
"Not Reported",""
"Female","75"
"Male","69"
"","144"
"Others",""
"Female","28"
"Male","12"
"","40"
"Tamang",""
"Female","11"
"Male","12"
"","23"
"Tharu",""
"Female","1282"
"Male","1180"
"","2462"
"Urdu",""
"Female","1015"
"Male","970"
"","1985"
