"Population by Five Years Age Group","Number"
"0-4",""
"Female","2482"
"Male","2619"
"10-14",""
"Female","2984"
"Male","2899"
"15-19",""
"Female","2112"
"Male","2187"
"20-24",""
"Female","1806"
"Male","1510"
"25-29",""
"Female","1827"
"Male","1611"
"30-34",""
"Female","1641"
"Male","1384"
"35-39",""
"Female","1611"
"Male","1445"
"40-44",""
"Female","1210"
"Male","1331"
"45-49",""
"Female","992"
"Male","1065"
"50-54",""
"Female","830"
"Male","902"
"55-59",""
"Female","716"
"Male","822"
"5-9",""
"Female","3128"
"Male","3352"
"60-64",""
"Female","634"
"Male","625"
"65-69",""
"Female","470"
"Male","465"
"70-74",""
"Female","319"
"Male","338"
"75+",""
"Female","252"
"Male","271"
