"Population by Five Years Age Group","Number"
"0-4",""
"Female","2184"
"Male","2273"
"10-14",""
"Female","3125"
"Male","3220"
"15-19",""
"Female","2400"
"Male","2280"
"20-24",""
"Female","1973"
"Male","1300"
"25-29",""
"Female","1957"
"Male","1273"
"30-34",""
"Female","1817"
"Male","1052"
"35-39",""
"Female","1536"
"Male","1177"
"40-44",""
"Female","1303"
"Male","985"
"45-49",""
"Female","1192"
"Male","1070"
"50-54",""
"Female","896"
"Male","887"
"55-59",""
"Female","842"
"Male","865"
"5-9",""
"Female","2967"
"Male","3067"
"60-64",""
"Female","811"
"Male","759"
"65-69",""
"Female","492"
"Male","546"
"70-74",""
"Female","308"
"Male","345"
"75+",""
"Female","257"
"Male","269"
