"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","57"
"Male","38"
"","95"
"Magar",""
"Female","9"
"Male","11"
"","20"
"Maithili",""
"Female","13662"
"Male","12467"
"","26129"
"Nepali",""
"Female","483"
"Male","487"
"","970"
"Newar",""
"Female","114"
"Male","94"
"","208"
"Not Reported",""
"Female","156"
"Male","142"
"","298"
"Others",""
"Female","20"
"Male","16"
"","36"
"Rai",""
"Female","41"
"Male","36"
"","77"
"Rajsthani",""
"Female","24"
"Male","25"
"","49"
"Sunuwar",""
"Female","8"
"Male","12"
"","20"
"Tamang",""
"Female","63"
"Male","77"
"","140"
"Tharu",""
"Female","6272"
"Male","5297"
"","11569"
"Thulung",""
"Female","11"
"Male","11"
"","22"
"Urdu",""
"Female","3140"
"Male","2595"
"","5735"
