"Population by Mother tongue","Number"
"Bangla",""
"Female","15"
"Male","10"
"Bhojpuri",""
"Female","45"
"Male","31"
"Bhujel",""
"Female","12"
"Male","15"
"Doteli",""
"Female","23"
"Male","21"
"Gurung",""
"Female","4"
"Male","7"
"Hindi",""
"Female","138"
"Male","130"
"Limbu",""
"Female","13"
"Male","14"
"Magar",""
"Female","12"
"Male","15"
"Maithili",""
"Female","28521"
"Male","30344"
"Nepali",""
"Female","1472"
"Male","1491"
"Newar",""
"Female","84"
"Male","63"
"Not Reported",""
"Female","153"
"Male","150"
"Others",""
"Female","43"
"Male","35"
"Rai",""
"Female","34"
"Male","44"
"Rajsthani",""
"Female","179"
"Male","178"
"Sunuwar",""
"Female","15"
"Male","12"
"Tamang",""
"Female","167"
"Male","210"
"Tharu",""
"Female","386"
"Male","406"
"Urdu",""
"Female","1977"
"Male","1905"
"Yakkha",""
"Female","11"
"Male","11"
