"Population by Five Years Age Group","Number"
"0-4",""
"Female","1983"
"Male","1997"
"10-14",""
"Female","3089"
"Male","2867"
"15-19",""
"Female","2447"
"Male","2127"
"20-24",""
"Female","2035"
"Male","1432"
"25-29",""
"Female","1789"
"Male","1314"
"30-34",""
"Female","1655"
"Male","1126"
"35-39",""
"Female","1608"
"Male","1232"
"40-44",""
"Female","1330"
"Male","1146"
"45-49",""
"Female","1154"
"Male","1107"
"50-54",""
"Female","908"
"Male","920"
"55-59",""
"Female","809"
"Male","836"
"5-9",""
"Female","2703"
"Male","2850"
"60-64",""
"Female","773"
"Male","731"
"65-69",""
"Female","576"
"Male","544"
"70-74",""
"Female","327"
"Male","322"
"75+",""
"Female","249"
"Male","236"
