"Population by Single Year of Age","Number"
"0",""
"Female","301"
"Male","343"
"1",""
"Female","244"
"Male","218"
"10",""
"Female","637"
"Male","729"
"11",""
"Female","225"
"Male","228"
"12",""
"Female","517"
"Male","582"
"13",""
"Female","256"
"Male","287"
"14",""
"Female","323"
"Male","360"
"15",""
"Female","293"
"Male","346"
"16",""
"Female","290"
"Male","373"
"17",""
"Female","140"
"Male","205"
"18",""
"Female","311"
"Male","406"
"19",""
"Female","109"
"Male","135"
"2",""
"Female","364"
"Male","429"
"20",""
"Female","387"
"Male","447"
"21",""
"Female","133"
"Male","104"
"22",""
"Female","234"
"Male","258"
"23",""
"Female","144"
"Male","118"
"24",""
"Female","177"
"Male","151"
"25",""
"Female","393"
"Male","434"
"26",""
"Female","148"
"Male","144"
"27",""
"Female","139"
"Male","119"
"28",""
"Female","338"
"Male","213"
"29",""
"Female","51"
"Male","54"
"3",""
"Female","427"
"Male","426"
"30",""
"Female","514"
"Male","505"
"31",""
"Female","66"
"Male","46"
"32",""
"Female","269"
"Male","232"
"33",""
"Female","118"
"Male","67"
"34",""
"Female","91"
"Male","69"
"35",""
"Female","451"
"Male","558"
"36",""
"Female","130"
"Male","103"
"37",""
"Female","61"
"Male","66"
"38",""
"Female","276"
"Male","171"
"39",""
"Female","42"
"Male","66"
"4",""
"Female","473"
"Male","456"
"40",""
"Female","449"
"Male","548"
"41",""
"Female","36"
"Male","35"
"42",""
"Female","171"
"Male","135"
"43",""
"Female","41"
"Male","41"
"44",""
"Female","48"
"Male","37"
"45",""
"Female","409"
"Male","443"
"46",""
"Female","43"
"Male","54"
"47",""
"Female","40"
"Male","40"
"48",""
"Female","114"
"Male","106"
"49",""
"Female","33"
"Male","27"
"5",""
"Female","514"
"Male","517"
"50",""
"Female","300"
"Male","431"
"51",""
"Female","15"
"Male","18"
"52",""
"Female","69"
"Male","73"
"53",""
"Female","26"
"Male","14"
"54",""
"Female","15"
"Male","17"
"55",""
"Female","283"
"Male","308"
"56",""
"Female","20"
"Male","26"
"57",""
"Female","23"
"Male","19"
"58",""
"Female","92"
"Male","56"
"59",""
"Female","13"
"Male","26"
"6",""
"Female","486"
"Male","458"
"60",""
"Female","265"
"Male","360"
"61",""
"Female","16"
"Male","17"
"62",""
"Female","58"
"Male","39"
"63",""
"Female","19"
"Male","7"
"64",""
"Female","17"
"Male","8"
"65",""
"Female","238"
"Male","208"
"66",""
"Female","11"
"Male","20"
"67",""
"Female","9"
"Male","24"
"68",""
"Female","38"
"Male","62"
"69",""
"Female","10"
"Male","11"
"7",""
"Female","384"
"Male","422"
"70",""
"Female","130"
"Male","181"
"71",""
"Female","4"
"Male","10"
"72",""
"Female","25"
"Male","25"
"73",""
"Female","6"
"Male","9"
"74",""
"Female","2"
"Male","3"
"75",""
"Female","51"
"Male","66"
"76",""
"Female","1"
"Male","5"
"77",""
"Female","1"
"Male","2"
"78",""
"Female","5"
"Male","12"
"79",""
"Female","1"
"Male","1"
"8",""
"Female","627"
"Male","604"
"80",""
"Female","23"
"Male","17"
"81",""
"Female","3"
"Male","3"
"82",""
"Female","1"
"Male","1"
"85",""
"Female","19"
"Male","24"
"9",""
"Female","275"
"Male","263"
