"Population by Mother tongue","Number"
"Bajjika",""
"Female","5754"
"Male","6234"
"","11988"
"Danuwar",""
"Female","34"
"Male","27"
"","61"
"Hindi",""
"Female","15"
"Male","21"
"","36"
"Maithili",""
"Female","7148"
"Male","7403"
"","14551"
"Nepali",""
"Female","168"
"Male","224"
"","392"
"Not Reported",""
"Female","88"
"Male","105"
"","193"
"Others",""
"Female","43"
"Male","18"
"","61"
"Rai",""
"Female","12"
"Male","12"
"","24"
"Tharu",""
"Female","76"
"Male","74"
"","150"
"Urdu",""
"Female","1213"
"Male","1163"
"","2376"
