"Population by disability type","Number"
"Blind/low vision",""
"Female","17"
"Male","18"
"","35"
"Deaf/hard of hearing",""
"Female","7"
"Male","15"
"","22"
"Deaf-Blind",""
"Female","0"
"Male","1"
"","1"
"Intellectual disable",""
"Female","1"
"Male","4"
"","5"
"Mental disable",""
"Female","5"
"Male","6"
"","11"
"Multiple disable",""
"Female","6"
"Male","15"
"","21"
"No disability",""
"Female","12051"
"Male","12546"
"","24597"
"Physical",""
"Female","22"
"Male","46"
"","68"
"Speech problem",""
"Female","7"
"Male","21"
"","28"
