"Population by Five Years Age Group","Number"
"0-4",""
"Female","2113"
"Male","2200"
"10-14",""
"Female","2530"
"Male","2633"
"15-19",""
"Female","1948"
"Male","1992"
"20-24",""
"Female","1626"
"Male","1309"
"25-29",""
"Female","1399"
"Male","1227"
"30-34",""
"Female","1304"
"Male","1029"
"35-39",""
"Female","1187"
"Male","1111"
"40-44",""
"Female","977"
"Male","1033"
"45-49",""
"Female","832"
"Male","854"
"50-54",""
"Female","630"
"Male","721"
"55-59",""
"Female","518"
"Male","556"
"5-9",""
"Female","2571"
"Male","2679"
"60-64",""
"Female","496"
"Male","533"
"65-69",""
"Female","322"
"Male","347"
"70-74",""
"Female","200"
"Male","252"
"75+",""
"Female","163"
"Male","153"
