"Population by Educational Attainment","Number"
"Beginners",""
"Female","303"
"Male","353"
"","656"
"Graduate and Equivalent",""
"Female","68"
"Male","139"
"","207"
"Intermediate and Equivalent",""
"Female","253"
"Male","467"
"","720"
"Level not Stated",""
"Female","34"
"Male","33"
"","67"
"Lower Secondary (Class 6-8)",""
"Female","1246"
"Male","1864"
"","3110"
"Non Formal Education",""
"Female","245"
"Male","283"
"","528"
"Others",""
"Female","42"
"Male","33"
"","75"
"Post Graduate Equivalent and Above",""
"Female","22"
"Male","46"
"","68"
"Primary Education (1-5 Class)",""
"Female","3330"
"Male","4578"
"","7908"
"Secondary Level (Class 9-10)",""
"Female","489"
"Male","824"
"","1313"
"SLC and Equivalent",""
"Female","551"
"Male","1010"
"","1561"
