"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","45"
"Male","40"
"Baraee",""
"Female","31"
"Male","42"
"Bhote",""
"Female","74"
"Male","69"
"Bin",""
"Female","51"
"Male","45"
"Brahman - Hill",""
"Female","4166"
"Male","3676"
"Brahman - Tarai",""
"Female","28"
"Male","33"
"Chamar/ Harijan/ Ram",""
"Female","251"
"Male","230"
"Chhetri",""
"Female","4327"
"Male","3790"
"Dalit Others",""
"Female","8"
"Male","8"
"Damai/Dholi",""
"Female","298"
"Male","270"
"Danuwar",""
"Female","34"
"Male","35"
"Dhanuk",""
"Female","120"
"Male","97"
"Dhobi",""
"Female","99"
"Male","84"
"Dom",""
"Female","32"
"Male","41"
"Dusadh/ Pasawan/ Pasi",""
"Female","1267"
"Male","1251"
"Gharti/Bhujel",""
"Female","272"
"Male","226"
"Gurung",""
"Female","8"
"Male","4"
"Hajam/Thakur",""
"Female","96"
"Male","111"
"Halwai",""
"Female","40"
"Male","42"
"Hayu",""
"Female","22"
"Male","11"
"Kalwar",""
"Female","236"
"Male","231"
"Kami",""
"Female","1233"
"Male","1148"
"Kanu",""
"Female","162"
"Male","204"
"Kathabaniyan",""
"Female","477"
"Male","541"
"Kayastha",""
"Female","94"
"Male","82"
"Kewat",""
"Female","18"
"Male","20"
"Koiri/Kushwaha",""
"Female","1772"
"Male","1758"
"Kumal",""
"Female","24"
"Male","29"
"Kumhar",""
"Female","28"
"Male","26"
"Kurmi",""
"Female","27"
"Male","33"
"Limbu",""
"Female","30"
"Male","27"
"Lohar",""
"Female","76"
"Male","79"
"Magar",""
"Female","1852"
"Male","1715"
"Majhi",""
"Female","526"
"Male","481"
"Mali",""
"Female","10"
"Male","8"
"Mallaha",""
"Female","70"
"Male","60"
"Musahar",""
"Female","194"
"Male","214"
"Musalman",""
"Female","324"
"Male","360"
"Newar",""
"Female","1147"
"Male","1101"
"Nuniya",""
"Female","109"
"Male","107"
"Others",""
"Female","22"
"Male","26"
"Pahari",""
"Female","6"
"Male","5"
"Rai",""
"Female","151"
"Male","134"
"Rajdhob",""
"Female","12"
"Male","11"
"Rajput",""
"Female","58"
"Male","57"
"Sanyasi/Dasnami",""
"Female","72"
"Male","58"
"Sarki",""
"Female","220"
"Male","202"
"Sherpa",""
"Female","9"
"Male","2"
"Sonar",""
"Female","139"
"Male","169"
"Sudhi",""
"Female","126"
"Male","137"
"Sunuwar",""
"Female","91"
"Male","90"
"Tamang",""
"Female","7486"
"Male","7071"
"Tatma/Tatwa",""
"Female","64"
"Male","68"
"Teli",""
"Female","159"
"Male","216"
"Terai Others",""
"Female","32"
"Male","29"
"Thakuri",""
"Female","41"
"Male","33"
"Thami",""
"Female","77"
"Male","67"
"Tharu",""
"Female","1813"
"Male","1688"
"Yadav",""
"Female","344"
"Male","403"
