"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","45"
"Male","40"
"","85"
"Baraee",""
"Female","31"
"Male","42"
"","73"
"Bhote",""
"Female","74"
"Male","69"
"","143"
"Bin",""
"Female","51"
"Male","45"
"","96"
"Brahman - Hill",""
"Female","4166"
"Male","3676"
"","7842"
"Brahman - Tarai",""
"Female","28"
"Male","33"
"","61"
"Chamar/ Harijan/ Ram",""
"Female","251"
"Male","230"
"","481"
"Chhetri",""
"Female","4327"
"Male","3790"
"","8117"
"Dalit Others",""
"Female","8"
"Male","8"
"","16"
"Damai/Dholi",""
"Female","298"
"Male","270"
"","568"
"Danuwar",""
"Female","34"
"Male","35"
"","69"
"Dhanuk",""
"Female","120"
"Male","97"
"","217"
"Dhobi",""
"Female","99"
"Male","84"
"","183"
"Dom",""
"Female","32"
"Male","41"
"","73"
"Dusadh/ Pasawan/ Pasi",""
"Female","1267"
"Male","1251"
"","2518"
"Gharti/Bhujel",""
"Female","272"
"Male","226"
"","498"
"Gurung",""
"Female","8"
"Male","4"
"","12"
"Hajam/Thakur",""
"Female","96"
"Male","111"
"","207"
"Halwai",""
"Female","40"
"Male","42"
"","82"
"Hayu",""
"Female","22"
"Male","11"
"","33"
"Kalwar",""
"Female","236"
"Male","231"
"","467"
"Kami",""
"Female","1233"
"Male","1148"
"","2381"
"Kanu",""
"Female","162"
"Male","204"
"","366"
"Kathabaniyan",""
"Female","477"
"Male","541"
"","1018"
"Kayastha",""
"Female","94"
"Male","82"
"","176"
"Kewat",""
"Female","18"
"Male","20"
"","38"
"Koiri/Kushwaha",""
"Female","1772"
"Male","1758"
"","3530"
"Kumal",""
"Female","24"
"Male","29"
"","53"
"Kumhar",""
"Female","28"
"Male","26"
"","54"
"Kurmi",""
"Female","27"
"Male","33"
"","60"
"Limbu",""
"Female","30"
"Male","27"
"","57"
"Lohar",""
"Female","76"
"Male","79"
"","155"
"Magar",""
"Female","1852"
"Male","1715"
"","3567"
"Majhi",""
"Female","526"
"Male","481"
"","1007"
"Mali",""
"Female","10"
"Male","8"
"","18"
"Mallaha",""
"Female","70"
"Male","60"
"","130"
"Musahar",""
"Female","194"
"Male","214"
"","408"
"Musalman",""
"Female","324"
"Male","360"
"","684"
"Newar",""
"Female","1147"
"Male","1101"
"","2248"
"Nuniya",""
"Female","109"
"Male","107"
"","216"
"Others",""
"Female","22"
"Male","26"
"","48"
"Pahari",""
"Female","6"
"Male","5"
"","11"
"Rai",""
"Female","151"
"Male","134"
"","285"
"Rajdhob",""
"Female","12"
"Male","11"
"","23"
"Rajput",""
"Female","58"
"Male","57"
"","115"
"Sanyasi/Dasnami",""
"Female","72"
"Male","58"
"","130"
"Sarki",""
"Female","220"
"Male","202"
"","422"
"Sherpa",""
"Female","9"
"Male","2"
"","11"
"Sonar",""
"Female","139"
"Male","169"
"","308"
"Sudhi",""
"Female","126"
"Male","137"
"","263"
"Sunuwar",""
"Female","91"
"Male","90"
"","181"
"Tamang",""
"Female","7486"
"Male","7071"
"","14557"
"Tatma/Tatwa",""
"Female","64"
"Male","68"
"","132"
"Teli",""
"Female","159"
"Male","216"
"","375"
"Terai Others",""
"Female","32"
"Male","29"
"","61"
"Thakuri",""
"Female","41"
"Male","33"
"","74"
"Thami",""
"Female","77"
"Male","67"
"","144"
"Tharu",""
"Female","1813"
"Male","1688"
"","3501"
"Yadav",""
"Female","344"
"Male","403"
"","747"
