"Population by Educational Attainment","Number"
"Beginners",""
"Female","51"
"Male","79"
"","130"
"Graduate and Equivalent",""
"Female","45"
"Male","200"
"","245"
"Intermediate and Equivalent",""
"Female","197"
"Male","451"
"","648"
"Level not Stated",""
"Female","21"
"Male","42"
"","63"
"Lower Secondary (Class 6-8)",""
"Female","516"
"Male","1308"
"","1824"
"Non Formal Education",""
"Female","15"
"Male","23"
"","38"
"Others",""
"Female","2"
"Male","21"
"","23"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","35"
"","40"
"Primary Education (1-5 Class)",""
"Female","1943"
"Male","2832"
"","4775"
"Secondary Level (Class 9-10)",""
"Female","234"
"Male","635"
"","869"
"SLC and Equivalent",""
"Female","270"
"Male","663"
"","933"
