"Population by Caste/Ethinicity","Number"
"Amat",""
"Female","8"
"Male","9"
"Badhaee",""
"Female","476"
"Male","485"
"Badi",""
"Female","16"
"Male","13"
"Bangali",""
"Female","19"
"Male","33"
"Bantar/Sardar",""
"Female","11"
"Male","12"
"Baraee",""
"Female","2499"
"Male","2595"
"Bhote",""
"Female","148"
"Male","132"
"Bin",""
"Female","4554"
"Male","4716"
"Bote",""
"Female","205"
"Male","213"
"Brahman - Hill",""
"Female","14467"
"Male","13040"
"Brahman - Tarai",""
"Female","6892"
"Male","7541"
"Chamar/ Harijan/ Ram",""
"Female","13575"
"Male","14273"
"Chhetri",""
"Female","14987"
"Male","13600"
"Chidimar",""
"Female","8"
"Male","4"
"Dalit Others",""
"Female","182"
"Male","151"
"Damai/Dholi",""
"Female","1163"
"Male","1066"
"Danuwar",""
"Female","4301"
"Male","4143"
"Dhankar/ Dharikar",""
"Female","14"
"Male","16"
"Dhanuk",""
"Female","6187"
"Male","6390"
"Dhobi",""
"Female","4755"
"Male","5029"
"Dhunia",""
"Female","852"
"Male","874"
"Dom",""
"Female","510"
"Male","523"
"Dusadh/ Pasawan/ Pasi",""
"Female","13725"
"Male","14531"
"Gaderi/Bhedihar",""
"Female","322"
"Male","315"
"Gharti/Bhujel",""
"Female","1103"
"Male","986"
"Gurung",""
"Female","202"
"Male","177"
"Hajam/Thakur",""
"Female","4847"
"Male","4894"
"Halkhor",""
"Female","105"
"Male","107"
"Halwai",""
"Female","1858"
"Male","1874"
"Hayu",""
"Female","74"
"Male","60"
"Hyolmo",""
"Female","85"
"Male","86"
"Jhangad/ Dhagar",""
"Female","95"
"Male","99"
"Kahar",""
"Female","359"
"Male","374"
"Kalar",""
"Female","4"
"Male","10"
"Kalwar",""
"Female","9692"
"Male","10263"
"Kami",""
"Female","3556"
"Male","3356"
"Kanu",""
"Female","4741"
"Male","5072"
"Kathabaniyan",""
"Female","8302"
"Male","8802"
"Kayastha",""
"Female","1445"
"Male","1509"
"Kewat",""
"Female","2022"
"Male","2154"
"Khatwe",""
"Female","3461"
"Male","3676"
"Koiri/Kushwaha",""
"Female","29926"
"Male","31056"
"Kumal",""
"Female","255"
"Male","247"
"Kumhar",""
"Female","5344"
"Male","5719"
"Kurmi",""
"Female","8182"
"Male","8793"
"Limbu",""
"Female","70"
"Male","49"
"Lohar",""
"Female","6450"
"Male","6748"
"Magar",""
"Female","7970"
"Male","7281"
"Majhi",""
"Female","2372"
"Male","2272"
"Mali",""
"Female","768"
"Male","777"
"Mallaha",""
"Female","10043"
"Male","10560"
"Marwadi",""
"Female","1078"
"Male","1172"
"Musahar",""
"Female","6839"
"Male","7290"
"Musalman",""
"Female","30329"
"Male","30405"
"Nachhiring",""
"Female","12"
"Male","8"
"Natuwa",""
"Female","87"
"Male","106"
"Newar",""
"Female","3707"
"Male","3621"
"Nuniya",""
"Female","4390"
"Male","4714"
"Others",""
"Female","687"
"Male","429"
"Pahari",""
"Female","48"
"Male","53"
"Pattharkatta/ Kushwadiya",""
"Female","10"
"Male","12"
"Punjabi/Sikh",""
"Female","326"
"Male","349"
"Rai",""
"Female","746"
"Male","701"
"Rajdhob",""
"Female","60"
"Male","48"
"Rajput",""
"Female","2922"
"Male","3184"
"Sanyasi/Dasnami",""
"Female","1661"
"Male","1682"
"Sarbaria",""
"Female","45"
"Male","36"
"Sarki",""
"Female","794"
"Male","760"
"Sherpa",""
"Female","9"
"Male","2"
"Sonar",""
"Female","4157"
"Male","4400"
"Sudhi",""
"Female","3790"
"Male","3926"
"Sunuwar",""
"Female","274"
"Male","273"
"Tamang",""
"Female","20474"
"Male","19251"
"Tatma/Tatwa",""
"Female","4380"
"Male","4568"
"Teli",""
"Female","19859"
"Male","21451"
"Terai Others",""
"Female","797"
"Male","794"
"Thakuri",""
"Female","378"
"Male","347"
"Thami",""
"Female","117"
"Male","99"
"Tharu",""
"Female","11110"
"Male","10619"
"Undefined Others",""
"Female","346"
"Male","378"
"Yadav",""
"Female","57265"
"Male","62043"
